#code	score
4f09_182	-8.314462
4f09_270	-8.164649
4f09_407	-7.612254
4f09_408	-8.363489
4f09_421	-7.980881
4f09_424	-7.221685
4f09_439	-6.649174
4f09_450	-7.55737
4f09_456	-6.865452
4f09_457	-8.070894
4f09_472	-5.724322
4f09_489	-7.7584934
4f09_522	-5.3790975
4f09_529	-5.4290214
4f09_534	-5.8476105
4f09_538	-5.213916
4f09_539	-5.2044964
4f09_546	-5.439417
4f09_550	-4.4689603
4f09_551	-5.1094456
4f09_552	-4.383293
4f09_557	-5.0852284
4f09_564	-7.7765765
4f09_572	-6.2611084
4f09_576	-6.001265
4f09_584	-5.4792457
4f09_586	-6.7769036
4f09_595	-7.379357
4f09_597	-5.004
4f09_600	-5.0632777
4f09_605	-7.334043
4f09_611	-6.072475
4f09_621	-7.451837
4f09_623	-7.0862865
4f09_631	-7.605697
4f09_633	-7.456318
4f09_654	-7.5706143
4f09_655	-6.965165
4f09_671	-4.7864695
4f09_683	-6.7362585
4f09_690	-7.555035
4f09_704	-8.229794
4f09_707	-8.281364
4f09_709	-7.668492
4f09_711	-5.6967416
4f09_717	-7.5179496
4f09_718	-7.4120274
4f09_721	-6.617109
4f09_723	-6.611986
4f09_730	-5.5954437
4f09_734	-4.8983417
4f09_743	-5.305251
4f09_745	-4.871918
4f09_746	-7.9576793
4f09_753	-4.4286165
4f09_754	-5.0972943
4f09_755	-5.6852074
4f09_756	-5.246155
4f09_757	-5.6531363
4f09_760	-4.8009872
4f09_762	-5.757466
4f09_763	-5.6989903
4f09_767	-5.5343375
4f09_769	-5.204533
4f09_771	-4.497883
4f09_773	-6.086764
4f09_774	-5.328667
4f09_812	-5.8835454
4f09_832	-5.282079
4f09_844	-6.2825375
4f09_846	-5.4262137
4f09_848	-5.3584323
4f09_863	-5.537228
4f09_866	-6.192389
4f09_871	-5.353719
4f09_874	-8.08443
4f09_875	-6.9469366
4f09_893	-8.224294
4f09_899	-8.258521
4f09_903	-8.161584
4f09_919	-8.286589
4f09_91	-8.051442
4f09_944	-6.8178153
4f09_954	-6.430282
4f09_965	-7.5621495
4f09_967	-8.188549
4f09_975	-7.5543423
