#code	score
4f9w_10	-9.644176
4f9w_113	-9.648517
4f9w_169	-9.594226
4f9w_194	-9.879744
4f9w_25	-9.271585
4f9w_283	-9.746827
4f9w_366	-8.723188
4f9w_36	-9.537325
4f9w_396	-8.961152
4f9w_401	-9.371553
4f9w_405	-7.925917
4f9w_406	-8.744015
4f9w_407	-9.423286
4f9w_408	-9.514573
4f9w_419	-8.442536
4f9w_421	-7.5161214
4f9w_435	-9.364645
4f9w_442	-7.337554
4f9w_445	-9.238648
4f9w_452	-9.290336
4f9w_456	-8.829362
4f9w_463	-8.989642
4f9w_466	-9.089943
4f9w_469	-7.796938
4f9w_476	-8.734898
4f9w_479	-8.610697
4f9w_480	-7.981142
4f9w_485	-9.308766
4f9w_487	-8.129694
4f9w_489	-7.4467206
4f9w_505	-8.342222
4f9w_518	-6.6670814
4f9w_523	-8.114858
4f9w_524	-7.3105335
4f9w_526	-6.429709
4f9w_527	-7.5931954
4f9w_529	-6.236106
4f9w_530	-8.240656
4f9w_565	-8.07918
4f9w_571	-7.8687897
4f9w_572	-7.004328
4f9w_573	-6.4237313
4f9w_580	-6.62808
4f9w_581	-6.1412854
4f9w_583	-5.641242
4f9w_588	-6.415594
4f9w_592	-6.4381723
4f9w_599	-6.6465807
4f9w_609	-9.292728
4f9w_621	-7.4090447
4f9w_630	-8.768691
4f9w_637	-8.2600765
4f9w_653	-7.1810308
4f9w_661	-8.250153
4f9w_664	-8.062409
4f9w_671	-7.62748
4f9w_673	-7.3627405
4f9w_674	-7.3455505
4f9w_684	-6.9272733
4f9w_685	-6.825115
4f9w_687	-8.49117
4f9w_695	-8.394703
4f9w_732	-8.849627
4f9w_737	-5.528157
4f9w_782	-5.235046
4f9w_783	-6.009451
4f9w_784	-5.7884436
4f9w_787	-6.84206
4f9w_788	-7.3317356
4f9w_798	-4.9384017
4f9w_86	-9.523797
4f9w_899	-6.329025
4f9w_92	-7.0631
4f9w_96	-9.646499
4f9w_996	-7.5173483
