#code	score
4gkm_111	-5.7841177
4gkm_123	-5.9722776
4gkm_133	-6.254001
4gkm_137	-6.5368524
4gkm_158	-5.9115467
4gkm_166	-6.074576
4gkm_180	-5.93905
4gkm_189	-6.0828347
4gkm_220	-6.058439
4gkm_25	-7.4710627
4gkm_265	-6.361424
4gkm_280	-6.4257793
4gkm_2	-5.591812
4gkm_301	-5.8926067
4gkm_302	-6.4997096
4gkm_338	-6.0310616
4gkm_346	-6.261116
4gkm_348	-5.9306917
4gkm_349	-5.8621063
4gkm_358	-5.510448
4gkm_363	-5.2113533
4gkm_374	-5.321195
4gkm_375	-6.0853877
4gkm_425	-6.096753
4gkm_438	-6.797485
4gkm_45	-5.800574
4gkm_472	-7.1139193
4gkm_480	-6.367746
4gkm_510	-5.790912
4gkm_515	-6.4521236
4gkm_526	-6.086188
4gkm_528	-6.366826
4gkm_551	-5.8766894
4gkm_564	-5.5900106
4gkm_566	-6.360289
4gkm_569	-5.8447585
4gkm_574	-6.6207385
4gkm_579	-5.4570813
4gkm_584	-5.279044
4gkm_585	-6.06437
4gkm_611	-6.035667
4gkm_614	-6.122459
4gkm_618	-5.9511604
4gkm_625	-5.9216957
4gkm_626	-4.88437
4gkm_628	-6.073656
4gkm_629	-5.8833666
4gkm_657	-5.938649
4gkm_658	-6.8532863
4gkm_665	-5.91677
4gkm_668	-6.665369
4gkm_671	-5.877686
4gkm_675	-7.167701
4gkm_676	-5.735122
4gkm_678	-6.180622
4gkm_688	-5.700214
4gkm_68	-7.4051714
4gkm_692	-5.823767
4gkm_694	-5.115049
4gkm_696	-5.348807
4gkm_698	-5.378948
4gkm_69	-6.5498524
4gkm_731	-4.82633
4gkm_769	-5.4057593
4gkm_770	-6.786486
4gkm_778	-6.9271955
4gkm_779	-7.304693
4gkm_77	-7.0349393
4gkm_795	-5.9344587
4gkm_798	-5.941202
4gkm_80	-5.9007087
4gkm_813	-5.439094
4gkm_87	-5.5954504
4gkm_90	-7.247796
