#code	score
4twp_101	-9.387078
4twp_102	-8.58669
4twp_106	-9.993071
4twp_109	-10.177196
4twp_129	-9.106298
4twp_164	-9.285053
4twp_171	-10.507992
4twp_175	-9.363571
4twp_203	-10.242289
4twp_222	-10.381135
4twp_241	-10.503228
4twp_277	-10.290929
4twp_284	-10.303447
4twp_323	-8.581176
4twp_327	-8.049827
4twp_341	-8.758906
4twp_352	-10.665977
4twp_358	-9.852991
4twp_36	-9.341681
4twp_378	-9.871685
4twp_379	-10.44823
4twp_394	-9.482786
4twp_397	-9.728095
4twp_3	-8.609457
4twp_418	-9.544169
4twp_442	-6.7178063
4twp_443	-7.359239
4twp_454	-9.815169
4twp_455	-7.936319
4twp_460	-8.777659
4twp_467	-8.626913
4twp_468	-7.160428
4twp_470	-8.4856615
4twp_476	-8.535228
4twp_480	-8.253596
4twp_485	-8.172582
4twp_486	-9.79632
4twp_487	-8.179063
4twp_493	-8.945109
4twp_513	-8.022383
4twp_517	-9.077607
4twp_518	-7.23361
4twp_519	-7.0996356
4twp_526	-8.692978
4twp_531	-8.309755
4twp_535	-7.4445486
4twp_538	-7.0507393
4twp_53	-9.881785
4twp_542	-9.392766
4twp_550	-6.945023
4twp_555	-6.728575
4twp_557	-10.360911
4twp_559	-6.1209354
4twp_564	-6.7687683
4twp_570	-8.824961
4twp_571	-9.77949
4twp_577	-7.1701355
4twp_582	-9.003447
4twp_583	-8.330769
4twp_585	-8.719825
4twp_587	-6.72224
4twp_590	-7.4381647
4twp_591	-7.3637056
4twp_593	-7.086675
4twp_596	-8.266203
4twp_597	-7.2935653
4twp_598	-6.9679203
4twp_608	-10.079418
4twp_614	-9.516224
4twp_634	-9.352413
4twp_637	-8.421374
4twp_641	-8.841776
4twp_642	-8.009297
4twp_646	-8.634428
4twp_648	-9.264497
4twp_653	-7.792912
4twp_654	-8.75252
4twp_656	-8.336936
4twp_663	-7.8414474
4twp_664	-8.818579
4twp_669	-9.267061
4twp_673	-9.214472
4twp_678	-7.455969
4twp_683	-8.395439
4twp_684	-10.624589
4twp_687	-8.0855255
4twp_692	-7.3261023
4twp_694	-7.8683925
4twp_697	-6.839908
4twp_699	-7.635203
4twp_809	-10.016728
4twp_899	-9.701828
