#code	score
4w9i_110	-8.211822
4w9i_172	-8.76869
4w9i_197	-8.387467
4w9i_199	-8.951881
4w9i_204	-9.174331
4w9i_221	-9.215217
4w9i_337	-6.831834
4w9i_374	-7.545282
4w9i_388	-7.1400847
4w9i_394	-8.516003
4w9i_403	-8.498954
4w9i_417	-7.5913444
4w9i_424	-6.9964843
4w9i_429	-7.4001346
4w9i_430	-8.241559
4w9i_439	-7.160204
4w9i_440	-8.0026865
4w9i_447	-9.754093
4w9i_468	-8.148482
4w9i_474	-7.6562276
4w9i_476	-7.586586
4w9i_484	-8.283026
4w9i_487	-8.209727
4w9i_489	-6.9272995
4w9i_491	-7.849582
4w9i_494	-7.915455
4w9i_496	-7.9774084
4w9i_511	-4.886233
4w9i_512	-7.3124514
4w9i_515	-7.373606
4w9i_524	-7.4456882
4w9i_528	-6.414556
4w9i_534	-7.371515
4w9i_535	-5.9518986
4w9i_546	-7.2942166
4w9i_550	-5.936303
4w9i_551	-6.578767
4w9i_554	-5.5832996
4w9i_565	-6.369122
4w9i_567	-7.4001646
4w9i_56	-9.783608
4w9i_570	-5.4256034
4w9i_574	-6.0294394
4w9i_575	-6.547515
4w9i_583	-6.1782727
4w9i_586	-8.372804
4w9i_587	-6.859305
4w9i_589	-4.977103
4w9i_595	-5.0022073
4w9i_602	-8.04174
4w9i_611	-8.363019
4w9i_612	-7.1997976
4w9i_615	-7.5402923
4w9i_622	-7.91324
4w9i_626	-6.9558377
4w9i_630	-6.6013017
4w9i_649	-6.934732
4w9i_658	-5.754676
4w9i_670	-7.697454
4w9i_672	-4.8861685
4w9i_687	-7.233561
4w9i_697	-7.4995403
4w9i_698	-8.053723
4w9i_755	-8.300537
4w9i_756	-7.528792
4w9i_759	-7.517191
4w9i_761	-7.5309777
4w9i_763	-7.9715157
4w9i_764	-7.611045
4w9i_766	-8.427198
4w9i_768	-7.2850943
4w9i_771	-7.289949
4w9i_772	-7.023664
4w9i_774	-6.441703
4w9i_776	-7.125147
4w9i_777	-6.206492
4w9i_782	-5.977554
4w9i_787	-7.1330805
4w9i_789	-4.6276026
4w9i_790	-5.488275
4w9i_791	-6.1179333
4w9i_792	-5.50396
4w9i_793	-4.470007
4w9i_794	-8.063736
4w9i_795	-8.28967
4w9i_796	-8.039319
4w9i_801	-8.387097
4w9i_846	-7.6646967
4w9i_852	-8.038754
4w9i_873	-8.102818
4w9i_879	-7.629813
4w9i_882	-7.610125
4w9i_885	-8.356251
4w9i_886	-7.7317567
4w9i_890	-7.697077
4w9i_893	-7.427731
4w9i_924	-8.000618
4w9i_97	-9.357825
4w9i_989	-8.658727
