     code  logKa      score
1    4llx   2.89   5.236211
2    5c28   5.66   5.693020
3    3uuo   7.96   7.304661
4    3ui7   9.00   8.193853
5    5c2h  11.09   9.956933
6    2v00   3.66   6.498206
7    3wz8   5.82   9.270083
8    3pww   7.32  12.137619
9    3prs   7.82  11.542308
10   3uri   9.00  12.559394
11   4m0z   5.19  10.425592
12   4m0y   6.46   8.208031
13   3qgy   7.80   8.698895
14   4qd6   8.64   8.017321
15   4rfm  10.05  10.603455
16   4cr9   4.10   4.969216
17   4cra   7.22  10.320813
18   4x6p   8.30  10.782357
19   4crc   8.72  10.490321
20   4ty7   9.52   9.543306
21   5aba   2.98   5.891596
22   5a7b   3.57   7.084716
23   4agn   3.97   6.351587
24   4agp   4.69   6.881175
25   4agq   5.01   6.852695
26   3bgz   6.26   9.246915
27   3jya   6.89   7.238352
28   2c3i   7.60  10.159165
29   4k18   8.96  11.392983
30   5dwr  11.22  10.502741
31   3mss   4.66   5.819888
32   3k5v   6.30   7.923564
33   3pyy   6.86   8.765845
34   2v7a   8.30  11.312677
35   4twp  10.00  10.373485
36   3wtj   6.53   7.483250
37   3zdg   7.10   7.089800
38   3u8k   8.66   8.034560
39   4qac   9.40  10.121988
40   3u8n  10.17   8.931828
41   1a30   4.30   7.829036
42   2qnq   6.11  10.400103
43   1g2k   7.96  11.827097
44   1eby   9.70  11.896393
45   3o9i  11.82  12.205814
46   4lzs   4.80   5.995390
47   3u5j   5.61   7.659904
48   4wiv   6.26   6.968694
49   4ogj   6.79   8.451014
50   3p5o   7.30   8.857921
51   1ps3   2.28   8.028725
52   3dx1   3.58   7.007621
53   3d4z   4.89   8.002835
54   3dx2   6.82   7.060463
55   3ejr   8.57   9.453024
56   3l7b   2.40   7.245864
57   4eky   3.52   8.159215
58   3g2n   4.09   7.217010
59   3syr   5.10   7.300376
60   3ebp   5.91   7.805183
61   2w66   4.05   7.756980
62   2w4x   4.85   7.248837
63   2wca   5.60   7.339254
64   2xj7   6.66   7.877779
65   2vvn   7.30   7.630554
66   3aru   3.22   6.596390
67   3arv   5.64   6.745122
68   3ary   6.00   5.707193
69   3arq   6.40   8.520084
70   3arp   7.15   9.453444
71   4ih5   4.11   6.554088
72   4ih7   5.24   5.687921
73   3cj4   6.51   6.455482
74   4eo8   8.15   6.887745
75   3gnw   9.10  10.513267
76   1gpk   5.37   7.910711
77   1gpn   6.48   8.198236
78   1h23   8.35  11.518516
79   1h22   9.10  11.466307
80   1e66   9.89   8.997725
81   3f3a   4.19   7.931756
82   3f3c   6.02   8.241452
