#code_ligand_num	score
3cj4_ligand_103	-6.8749914
3cj4_ligand_108	-10.097452
3cj4_ligand_116	-7.691161
3cj4_ligand_117	-10.238393
3cj4_ligand_11	-9.555438
3cj4_ligand_123	-7.435036
3cj4_ligand_127	-6.9698
3cj4_ligand_129	-10.364931
3cj4_ligand_132	-10.427005
3cj4_ligand_134	-10.074274
3cj4_ligand_138	-10.622077
3cj4_ligand_13	-9.8802805
3cj4_ligand_143	-7.539943
3cj4_ligand_150	-6.4276567
3cj4_ligand_156	-10.793183
3cj4_ligand_157	-10.1662445
3cj4_ligand_15	-11.058744
3cj4_ligand_160	-10.445295
3cj4_ligand_169	-10.353039
3cj4_ligand_176	-10.822277
3cj4_ligand_183	-9.609708
3cj4_ligand_185	-10.646589
3cj4_ligand_186	-9.464767
3cj4_ligand_187	-9.64524
3cj4_ligand_189	-9.94257
3cj4_ligand_190	-10.115627
3cj4_ligand_193	-8.885074
3cj4_ligand_194	-10.95607
3cj4_ligand_196	-9.1807375
3cj4_ligand_199	-10.484033
3cj4_ligand_203	-9.938242
3cj4_ligand_207	-9.977703
3cj4_ligand_212	-10.370383
3cj4_ligand_218	-10.182094
3cj4_ligand_224	-10.304339
3cj4_ligand_225	-9.971071
3cj4_ligand_226	-9.72394
3cj4_ligand_227	-9.826862
3cj4_ligand_228	-10.207331
3cj4_ligand_229	-10.343434
3cj4_ligand_231	-10.723713
3cj4_ligand_232	-9.589019
3cj4_ligand_233	-10.489011
3cj4_ligand_234	-10.350907
3cj4_ligand_236	-9.880096
3cj4_ligand_237	-10.273023
3cj4_ligand_23	-7.3859954
3cj4_ligand_241	-9.826269
3cj4_ligand_243	-10.335861
3cj4_ligand_244	-10.485452
3cj4_ligand_245	-9.558838
3cj4_ligand_246	-9.671228
3cj4_ligand_248	-9.449944
3cj4_ligand_266	-9.992768
3cj4_ligand_285	-9.623866
3cj4_ligand_288	-9.921106
3cj4_ligand_293	-10.240183
3cj4_ligand_294	-9.884787
3cj4_ligand_295	-10.604735
3cj4_ligand_296	-9.87743
3cj4_ligand_299	-10.579345
3cj4_ligand_300	-9.870215
3cj4_ligand_323	-10.250117
3cj4_ligand_325	-9.717181
3cj4_ligand_342	-10.311188
3cj4_ligand_345	-10.456707
3cj4_ligand_347	-10.346653
3cj4_ligand_349	-9.8021
3cj4_ligand_35	-9.846944
3cj4_ligand_363	-10.662567
3cj4_ligand_367	-10.588816
3cj4_ligand_368	-10.306179
3cj4_ligand_379	-11.192955
3cj4_ligand_381	-10.14859
3cj4_ligand_382	-10.500009
3cj4_ligand_383	-10.924399
3cj4_ligand_385	-10.916577
3cj4_ligand_387	-10.331276
3cj4_ligand_389	-10.835143
3cj4_ligand_391	-10.088297
3cj4_ligand_393	-10.72753
3cj4_ligand_395	-10.60371
3cj4_ligand_397	-10.730649
3cj4_ligand_402	-10.609428
3cj4_ligand_420	-10.912826
3cj4_ligand_428	-10.51178
3cj4_ligand_448	-10.727563
3cj4_ligand_487	-10.672783
3cj4_ligand_48	-9.648586
3cj4_ligand_494	-10.153169
3cj4_ligand_496	-10.715
3cj4_ligand_497	-10.463915
3cj4_ligand_53	-6.555483
3cj4_ligand_56	-7.556618
3cj4_ligand_57	-7.3053775
3cj4_ligand_58	-10.178827
3cj4_ligand_64	-9.23331
3cj4_ligand_66	-6.565423
3cj4_ligand_81	-6.213125
3cj4_ligand_88	-7.025902
3coy_ligand_128	-6.6002316
3coy_ligand_13	-10.180028
3coy_ligand_159	-8.439374
3coy_ligand_160	-7.9551144
3coy_ligand_164	-8.508411
3coy_ligand_165	-7.4987574
3coy_ligand_173	-8.387847
3coy_ligand_174	-7.569676
3coy_ligand_179	-8.43375
3coy_ligand_181	-7.4145036
3coy_ligand_187	-7.367495
3coy_ligand_189	-9.439782
3coy_ligand_190	-8.164961
3coy_ligand_193	-8.685854
3coy_ligand_196	-8.866756
3coy_ligand_201	-8.951267
3coy_ligand_203	-8.8374605
3coy_ligand_206	-9.56493
3coy_ligand_211	-8.954964
3coy_ligand_213	-8.660076
3coy_ligand_215	-9.4831295
3coy_ligand_216	-8.891107
3coy_ligand_217	-8.910395
3coy_ligand_219	-9.002696
3coy_ligand_220	-9.635595
3coy_ligand_221	-7.881775
3coy_ligand_226	-8.106419
3coy_ligand_230	-8.873565
3coy_ligand_232	-8.504859
3coy_ligand_234	-8.915202
3coy_ligand_239	-8.619041
3coy_ligand_240	-9.233146
3coy_ligand_242	-9.672965
3coy_ligand_243	-9.199
3coy_ligand_244	-8.717144
3coy_ligand_247	-8.489241
3coy_ligand_248	-6.3308654
3coy_ligand_249	-9.205878
3coy_ligand_257	-8.347259
3coy_ligand_258	-8.0932255
3coy_ligand_264	-7.977881
3coy_ligand_265	-9.076079
3coy_ligand_268	-8.623448
3coy_ligand_269	-8.588164
3coy_ligand_273	-10.030419
3coy_ligand_278	-9.090437
3coy_ligand_282	-7.649403
3coy_ligand_287	-8.902079
3coy_ligand_288	-9.415321
3coy_ligand_291	-7.783485
3coy_ligand_292	-8.079461
3coy_ligand_294	-9.900426
3coy_ligand_295	-8.315171
3coy_ligand_296	-9.106005
3coy_ligand_308	-8.238016
3coy_ligand_310	-8.029512
3coy_ligand_318	-8.807219
3coy_ligand_319	-8.183554
3coy_ligand_322	-10.176121
3coy_ligand_323	-6.9466734
3coy_ligand_324	-8.16103
3coy_ligand_328	-8.016475
3coy_ligand_32	-9.506692
3coy_ligand_330	-8.392124
3coy_ligand_331	-8.508993
3coy_ligand_334	-7.96212
3coy_ligand_335	-8.602464
3coy_ligand_336	-7.6634336
3coy_ligand_342	-9.422284
3coy_ligand_343	-7.1650004
3coy_ligand_346	-7.393553
3coy_ligand_348	-8.217802
3coy_ligand_352	-9.915622
3coy_ligand_387	-9.589947
3coy_ligand_388	-9.1624565
3coy_ligand_396	-8.872457
3coy_ligand_399	-9.837346
3coy_ligand_400	-9.1307955
3coy_ligand_407	-9.545775
3coy_ligand_43	-9.965776
3coy_ligand_448	-9.964173
3coy_ligand_51	-6.0883327
3coy_ligand_57	-7.009254
3coy_ligand_59	-10.299974
3coy_ligand_5	-9.99429
3coy_ligand_60	-5.7079577
3coy_ligand_66	-6.518202
3coy_ligand_67	-5.547633
3coy_ligand_70	-5.554237
3coy_ligand_71	-5.765698
3coy_ligand_73	-7.0538397
3coy_ligand_74	-7.071932
3coy_ligand_78	-5.349499
3coy_ligand_79	-6.3961334
3coy_ligand_82	-6.4043384
3coy_ligand_87	-6.398802
3coy_ligand_89	-5.852121
3coy_ligand_90	-5.6718593
3coy_ligand_91	-5.751432
3coy_ligand_93	-6.0436525
3coz_ligand_100	-6.139971
3coz_ligand_105	-9.04181
3coz_ligand_121	-9.723551
3coz_ligand_122	-9.632252
3coz_ligand_124	-6.772597
3coz_ligand_136	-9.988966
3coz_ligand_137	-9.207524
3coz_ligand_153	-9.21822
3coz_ligand_161	-7.6119695
3coz_ligand_165	-8.821977
3coz_ligand_166	-7.0300655
3coz_ligand_168	-8.367775
3coz_ligand_171	-7.653153
3coz_ligand_175	-8.457338
3coz_ligand_176	-9.201303
3coz_ligand_180	-8.678895
3coz_ligand_185	-8.407005
3coz_ligand_191	-7.419162
3coz_ligand_194	-8.439154
3coz_ligand_196	-7.219755
3coz_ligand_197	-7.428648
3coz_ligand_198	-8.474787
3coz_ligand_200	-8.701239
3coz_ligand_204	-9.601196
3coz_ligand_206	-8.355811
3coz_ligand_207	-8.634511
3coz_ligand_211	-9.139773
3coz_ligand_212	-9.18664
3coz_ligand_218	-8.192739
3coz_ligand_222	-9.391472
3coz_ligand_224	-8.917139
3coz_ligand_226	-8.17049
3coz_ligand_228	-9.381512
3coz_ligand_229	-8.571548
3coz_ligand_231	-8.9290905
3coz_ligand_234	-7.6928725
3coz_ligand_235	-9.682281
3coz_ligand_237	-9.662223
3coz_ligand_244	-9.203286
3coz_ligand_246	-9.547571
