#code_ligand_num	score
4eky_ligand_120	-7.204197
4eky_ligand_140	-7.192624
4eky_ligand_142	-7.1676183
4eky_ligand_145	-6.5730915
4eky_ligand_147	-8.246452
4eky_ligand_149	-7.20645
4eky_ligand_158	-8.802425
4eky_ligand_163	-8.215726
4eky_ligand_172	-7.7566514
4eky_ligand_175	-8.237091
4eky_ligand_179	-8.120712
4eky_ligand_188	-7.818617
4eky_ligand_189	-7.870774
4eky_ligand_191	-7.1301856
4eky_ligand_193	-8.081196
4eky_ligand_194	-7.332701
4eky_ligand_202	-7.7121553
4eky_ligand_205	-6.555923
4eky_ligand_208	-7.1644545
4eky_ligand_209	-8.193248
4eky_ligand_210	-7.1372514
4eky_ligand_211	-7.3667874
4eky_ligand_212	-7.839509
4eky_ligand_216	-6.758403
4eky_ligand_217	-7.7238812
4eky_ligand_218	-6.15356
4eky_ligand_222	-5.6432443
4eky_ligand_224	-7.207087
4eky_ligand_225	-6.7841587
4eky_ligand_228	-6.3889227
4eky_ligand_229	-6.261268
4eky_ligand_22	-8.23578
4eky_ligand_230	-7.0200887
4eky_ligand_231	-7.53489
4eky_ligand_233	-6.09033
4eky_ligand_234	-5.8584733
4eky_ligand_235	-7.4254766
4eky_ligand_238	-6.682163
4eky_ligand_240	-9.541107
4eky_ligand_241	-7.6938324
4eky_ligand_245	-6.282959
4eky_ligand_246	-7.0256944
4eky_ligand_247	-7.6859684
4eky_ligand_248	-7.4910116
4eky_ligand_250	-7.040662
4eky_ligand_253	-7.486679
4eky_ligand_263	-5.9064703
4eky_ligand_270	-7.2512546
4eky_ligand_271	-8.253688
4eky_ligand_272	-7.388269
4eky_ligand_274	-6.8473916
4eky_ligand_275	-7.653236
4eky_ligand_276	-7.035477
4eky_ligand_277	-7.588177
4eky_ligand_279	-7.1051135
4eky_ligand_280	-7.3222036
4eky_ligand_282	-7.17549
4eky_ligand_286	-6.811278
4eky_ligand_290	-6.5633516
4eky_ligand_291	-7.1773906
4eky_ligand_292	-6.476505
4eky_ligand_300	-6.859079
4eky_ligand_302	-7.9351563
4eky_ligand_308	-8.897572
4eky_ligand_309	-7.874573
4eky_ligand_310	-6.5207815
4eky_ligand_315	-8.185541
4eky_ligand_317	-8.408354
4eky_ligand_321	-8.475726
4eky_ligand_328	-7.86142
4eky_ligand_32	-8.421842
