#code_ligand_num	score
2xii_ligand_266	-8.225725
2xii_ligand_267	-8.264048
2xii_ligand_282	-7.4593897
2xii_ligand_284	-8.07959
2xii_ligand_285	-7.5474343
2xii_ligand_286	-7.5879226
2xii_ligand_287	-7.887437
2xii_ligand_295	-8.446375
2xii_ligand_298	-7.8848233
2xii_ligand_2	-6.511949
2xii_ligand_304	-8.451298
2xii_ligand_306	-8.40122
2xii_ligand_311	-6.8784604
2xii_ligand_314	-8.498132
2xii_ligand_316	-7.9877567
2xii_ligand_319	-8.67536
2xii_ligand_320	-8.159604
2xii_ligand_322	-7.1315875
2xii_ligand_323	-7.3264236
2xii_ligand_325	-7.734462
2xii_ligand_329	-8.123228
2xii_ligand_333	-7.405909
2xii_ligand_334	-6.6878076
2xii_ligand_336	-7.624092
2xii_ligand_338	-5.9956594
2xii_ligand_339	-9.249298
2xii_ligand_343	-6.2953687
2xii_ligand_359	-7.7513986
2xii_ligand_381	-8.302185
2xii_ligand_38	-7.191759
2xii_ligand_391	-8.124256
2xii_ligand_398	-7.5093565
2xii_ligand_399	-8.958289
2xii_ligand_39	-7.4993725
2xii_ligand_400	-7.740465
2xii_ligand_40	-7.467108
2xii_ligand_437	-7.385237
2xii_ligand_44	-7.212352
2xii_ligand_487	-9.320389
2xii_ligand_51	-7.192496
2xii_ligand_58	-6.5627317
2xii_ligand_70	-7.8024483
2xii_ligand_73	-7.6924677
2xii_ligand_75	-7.7064443
2xii_ligand_76	-7.920226
2xii_ligand_7	-6.4338174
2xii_ligand_82	-6.6896887
2xii_ligand_94	-7.1288633
2xii_ligand_97	-6.849928
2xii_ligand_98	-8.785343
2xj7_ligand_103	-4.912968
2xj7_ligand_123	-5.284847
2xj7_ligand_141	-4.575396
2xj7_ligand_153	-5.6952667
2xj7_ligand_168	-5.8679967
2xj7_ligand_172	-6.1747346
2xj7_ligand_183	-6.4395757
2xj7_ligand_185	-6.8192625
2xj7_ligand_18	-6.040709
2xj7_ligand_191	-5.23849
2xj7_ligand_196	-5.813526
2xj7_ligand_197	-6.3718176
2xj7_ligand_205	-5.945238
2xj7_ligand_207	-6.481353
