#code_ligand_num	score
3p5o_ligand_100	-6.9163804
3p5o_ligand_113	-8.81109
3p5o_ligand_115	-8.981504
3p5o_ligand_120	-6.7646995
3p5o_ligand_131	-9.057656
3p5o_ligand_154	-9.303087
3p5o_ligand_163	-7.900829
3p5o_ligand_164	-7.547361
3p5o_ligand_171	-8.079734
3p5o_ligand_174	-8.900202
3p5o_ligand_185	-8.274085
3p5o_ligand_186	-8.678985
3p5o_ligand_189	-8.054058
3p5o_ligand_190	-9.152886
3p5o_ligand_192	-9.448841
3p5o_ligand_193	-7.363854
3p5o_ligand_194	-8.171648
3p5o_ligand_196	-8.605757
3p5o_ligand_199	-8.431126
3p5o_ligand_1	-9.425077
3p5o_ligand_201	-5.5355415
3p5o_ligand_202	-6.9457827
3p5o_ligand_203	-5.735266
3p5o_ligand_204	-6.419828
3p5o_ligand_205	-8.616688
3p5o_ligand_207	-5.427566
3p5o_ligand_209	-5.7987256
3p5o_ligand_210	-5.7509828
3p5o_ligand_211	-5.8671527
3p5o_ligand_212	-5.606743
3p5o_ligand_214	-6.7171493
3p5o_ligand_216	-5.721382
3p5o_ligand_217	-6.779577
3p5o_ligand_218	-5.1056995
3p5o_ligand_219	-5.6409163
3p5o_ligand_221	-4.898497
3p5o_ligand_222	-5.90465
3p5o_ligand_223	-5.425121
3p5o_ligand_225	-4.6761
3p5o_ligand_226	-6.6768246
3p5o_ligand_228	-9.042664
3p5o_ligand_22	-6.7772455
3p5o_ligand_230	-5.973342
3p5o_ligand_231	-5.664291
3p5o_ligand_232	-6.443019
3p5o_ligand_233	-5.5783935
3p5o_ligand_235	-5.45292
3p5o_ligand_237	-5.0144095
3p5o_ligand_238	-5.75776
3p5o_ligand_240	-6.4332232
3p5o_ligand_241	-6.8133736
3p5o_ligand_242	-4.8291106
3p5o_ligand_243	-5.303422
3p5o_ligand_246	-4.390603
3p5o_ligand_247	-5.056664
3p5o_ligand_248	-7.1379156
3p5o_ligand_249	-4.234755
3p5o_ligand_250	-4.8756175
3p5o_ligand_260	-8.841314
3p5o_ligand_267	-7.5768733
3p5o_ligand_26	-10.082256
3p5o_ligand_271	-9.275684
3p5o_ligand_273	-7.6369324
3p5o_ligand_276	-9.536339
3p5o_ligand_278	-9.623074
3p5o_ligand_279	-7.8540864
3p5o_ligand_280	-9.589493
3p5o_ligand_283	-8.867734
3p5o_ligand_288	-7.658205
3p5o_ligand_289	-8.8428335
3p5o_ligand_28	-6.6203423
3p5o_ligand_290	-7.514997
3p5o_ligand_292	-9.007465
3p5o_ligand_295	-10.146747
3p5o_ligand_300	-7.657743
3p5o_ligand_314	-7.1169744
3p5o_ligand_315	-7.831944
3p5o_ligand_318	-7.8734612
3p5o_ligand_319	-9.571171
3p5o_ligand_325	-7.6311517
3p5o_ligand_327	-8.909917
3p5o_ligand_328	-7.793504
3p5o_ligand_332	-8.711461
3p5o_ligand_343	-7.3048267
3p5o_ligand_349	-6.2269626
3p5o_ligand_371	-7.197791
3p5o_ligand_374	-8.517834
3p5o_ligand_387	-8.228328
3p5o_ligand_396	-6.0701647
3p5o_ligand_47	-9.093428
3p5o_ligand_500	-9.537048
3p5o_ligand_55	-6.7200136
3p5o_ligand_56	-8.600305
3p5o_ligand_58	-9.619647
3p5o_ligand_67	-7.308157
3p5o_ligand_69	-8.877619
3p5o_ligand_70	-6.8439193
3p5o_ligand_79	-6.743064
3p5o_ligand_89	-8.331841
3p5o_ligand_98	-7.5636477
3prs_ligand_102	-6.4826536
3prs_ligand_105	-9.339875
3prs_ligand_109	-6.265694
3prs_ligand_113	-7.3773847
3prs_ligand_118	-6.6679797
3prs_ligand_123	-6.094073
3prs_ligand_124	-7.4225736
3prs_ligand_125	-5.1885567
3prs_ligand_126	-6.3018694
3prs_ligand_127	-5.3131733
3prs_ligand_128	-8.928882
3prs_ligand_130	-7.249819
3prs_ligand_133	-5.4430556
3prs_ligand_135	-8.634959
3prs_ligand_138	-7.0119085
3prs_ligand_141	-5.277452
3prs_ligand_144	-6.8665338
3prs_ligand_151	-8.437344
3prs_ligand_156	-8.604138
3prs_ligand_158	-8.795432
3prs_ligand_162	-9.829963
3prs_ligand_163	-8.423422
3prs_ligand_169	-8.773855
3prs_ligand_170	-9.027209
3prs_ligand_172	-10.872369
3prs_ligand_181	-8.571093
3prs_ligand_199	-7.9926314
3prs_ligand_212	-4.810846
3prs_ligand_215	-4.823819
3prs_ligand_219	-4.503782
3prs_ligand_221	-6.039206
3prs_ligand_223	-7.0744762
3prs_ligand_225	-8.605013
3prs_ligand_226	-4.785481
3prs_ligand_227	-5.5459814
3prs_ligand_230	-6.7831016
3prs_ligand_231	-5.511069
3prs_ligand_234	-4.681393
3prs_ligand_236	-5.4551244
3prs_ligand_237	-4.8416133
3prs_ligand_238	-4.790173
3prs_ligand_241	-4.842612
3prs_ligand_243	-4.9286275
3prs_ligand_246	-5.252192
3prs_ligand_248	-6.18999
3prs_ligand_250	-6.0619645
3prs_ligand_259	-8.697223
3prs_ligand_262	-10.20362
3prs_ligand_263	-8.354738
3prs_ligand_264	-8.174843
3prs_ligand_269	-7.2560825
3prs_ligand_276	-7.1728525
3prs_ligand_278	-6.2416806
3prs_ligand_281	-7.4830933
3prs_ligand_283	-7.6887636
3prs_ligand_284	-6.59456
3prs_ligand_289	-6.227913
3prs_ligand_291	-8.440027
