#code_ligand_num	score
3p5o_ligand_101	-5.8611703
3p5o_ligand_103	-5.29281
3p5o_ligand_107	-5.391336
3p5o_ligand_109	-5.1491904
3p5o_ligand_10	-5.3097677
3p5o_ligand_112	-5.238076
3p5o_ligand_113	-5.888744
3p5o_ligand_119	-5.68779
3p5o_ligand_11	-5.2113156
3p5o_ligand_134	-5.332667
3p5o_ligand_135	-4.6632266
3p5o_ligand_137	-6.120665
3p5o_ligand_148	-6.2457423
3p5o_ligand_149	-6.513746
3p5o_ligand_154	-8.48573
3p5o_ligand_160	-8.440117
3p5o_ligand_169	-8.313192
3p5o_ligand_178	-9.036683
3p5o_ligand_182	-9.678854
3p5o_ligand_184	-9.682884
3p5o_ligand_186	-8.224847
3p5o_ligand_187	-9.229232
3p5o_ligand_189	-7.703693
3p5o_ligand_190	-8.414396
3p5o_ligand_199	-9.090769
3p5o_ligand_200	-9.148323
3p5o_ligand_201	-7.402457
3p5o_ligand_202	-7.3928556
3p5o_ligand_203	-7.2625833
3p5o_ligand_206	-6.2553744
3p5o_ligand_207	-7.700063
3p5o_ligand_208	-8.726831
3p5o_ligand_20	-7.9137115
3p5o_ligand_211	-8.902235
3p5o_ligand_212	-6.961682
3p5o_ligand_221	-8.555345
3p5o_ligand_223	-9.305789
3p5o_ligand_227	-9.012807
3p5o_ligand_228	-9.37479
3p5o_ligand_229	-8.627219
3p5o_ligand_231	-8.123205
3p5o_ligand_234	-7.328647
3p5o_ligand_237	-8.626885
3p5o_ligand_238	-8.904777
3p5o_ligand_241	-7.2238154
3p5o_ligand_244	-6.9462647
3p5o_ligand_249	-7.3894
3p5o_ligand_250	-7.9998817
3p5o_ligand_265	-8.1485195
3p5o_ligand_281	-9.258268
3p5o_ligand_283	-8.760207
3p5o_ligand_30	-6.0002522
3p5o_ligand_314	-9.062989
3p5o_ligand_325	-8.927433
3p5o_ligand_32	-5.196284
3p5o_ligand_336	-8.361759
3p5o_ligand_33	-4.930156
3p5o_ligand_343	-8.991165
3p5o_ligand_34	-4.7818623
3p5o_ligand_35	-5.4713883
3p5o_ligand_362	-9.847523
3p5o_ligand_366	-10.492263
3p5o_ligand_36	-5.232731
3p5o_ligand_371	-10.879916
3p5o_ligand_376	-10.176937
3p5o_ligand_377	-9.981901
3p5o_ligand_383	-8.562432
3p5o_ligand_386	-9.056133
3p5o_ligand_389	-7.311139
3p5o_ligand_391	-9.723231
3p5o_ligand_394	-9.266284
3p5o_ligand_395	-9.186984
3p5o_ligand_396	-9.086273
3p5o_ligand_398	-7.7237945
3p5o_ligand_3	-5.992337
3p5o_ligand_402	-9.625244
3p5o_ligand_423	-9.656577
3p5o_ligand_424	-7.37378
3p5o_ligand_436	-9.467296
3p5o_ligand_44	-5.5993905
3p5o_ligand_45	-5.3030763
3p5o_ligand_48	-5.9106936
3p5o_ligand_4	-5.6845636
3p5o_ligand_50	-5.248869
3p5o_ligand_52	-5.5528717
3p5o_ligand_59	-5.5822024
3p5o_ligand_60	-5.325391
3p5o_ligand_68	-5.450835
3p5o_ligand_69	-5.6165104
3p5o_ligand_6	-5.857888
3p5o_ligand_70	-5.892904
3p5o_ligand_77	-5.429758
3p5o_ligand_79	-5.821589
3p5o_ligand_86	-8.331516
3p5o_ligand_88	-6.09078
3p5o_ligand_91	-5.398995
3p5o_ligand_92	-5.019693
3p5o_ligand_95	-5.745295
3p5o_ligand_96	-5.223537
3p5o_ligand_9	-7.273173
3prs_ligand_100	-6.4569855
3prs_ligand_101	-6.816194
3prs_ligand_102	-5.0098805
3prs_ligand_103	-9.126748
3prs_ligand_106	-5.9394093
3prs_ligand_107	-6.32526
3prs_ligand_113	-6.377357
3prs_ligand_119	-7.645069
3prs_ligand_122	-6.011326
3prs_ligand_123	-6.651742
3prs_ligand_124	-6.754129
3prs_ligand_125	-9.055766
3prs_ligand_128	-7.3828683
3prs_ligand_132	-4.823142
3prs_ligand_133	-10.064586
3prs_ligand_136	-6.6638675
3prs_ligand_13	-5.7734127
3prs_ligand_143	-5.6927147
3prs_ligand_144	-6.5326514
3prs_ligand_147	-7.030804
3prs_ligand_148	-6.782118
3prs_ligand_14	-6.425336
3prs_ligand_153	-10.840225
3prs_ligand_158	-10.31938
3prs_ligand_164	-14.277761
3prs_ligand_166	-11.895099
3prs_ligand_175	-8.929816
3prs_ligand_181	-12.906878
3prs_ligand_182	-13.276883
3prs_ligand_183	-11.688386
3prs_ligand_184	-16.61788
3prs_ligand_187	-12.327736
3prs_ligand_188	-12.822248
3prs_ligand_190	-13.356464
3prs_ligand_193	-12.127607
3prs_ligand_195	-12.226182
3prs_ligand_203	-8.5945425
3prs_ligand_208	-9.323065
3prs_ligand_210	-8.768725
3prs_ligand_224	-9.707368
3prs_ligand_226	-9.709016
3prs_ligand_22	-6.389002
3prs_ligand_230	-9.564556
3prs_ligand_231	-9.190906
3prs_ligand_233	-10.889646
3prs_ligand_241	-7.9793935
3prs_ligand_245	-9.582445
3prs_ligand_250	-9.250665
3prs_ligand_262	-8.974844
3prs_ligand_269	-9.115624
3prs_ligand_26	-5.0802264
3prs_ligand_271	-9.67268
3prs_ligand_274	-10.43007
3prs_ligand_276	-8.034006
3prs_ligand_281	-11.063013
3prs_ligand_285	-6.738034
3prs_ligand_289	-10.338974
3prs_ligand_28	-6.1750712
3prs_ligand_299	-8.3312
3prs_ligand_300	-8.84389
3prs_ligand_305	-8.437243
3prs_ligand_306	-8.217297
3prs_ligand_313	-8.057033
3prs_ligand_316	-8.44329
3prs_ligand_318	-9.955926
3prs_ligand_31	-5.5483766
3prs_ligand_327	-8.55583
3prs_ligand_33	-6.0796986
3prs_ligand_344	-10.220647
3prs_ligand_349	-8.634374
3prs_ligand_363	-7.3622365
3prs_ligand_370	-8.936525
3prs_ligand_378	-10.497761
3prs_ligand_37	-5.704271
3prs_ligand_380	-8.530521
3prs_ligand_390	-9.292564
3prs_ligand_393	-9.274357
3prs_ligand_396	-9.505936
3prs_ligand_399	-8.649811
3prs_ligand_3	-6.7848
3prs_ligand_40	-7.2443457
3prs_ligand_415	-7.271399
3prs_ligand_417	-10.275574
3prs_ligand_418	-6.168002
3prs_ligand_41	-6.0764256
3prs_ligand_426	-8.287002
3prs_ligand_477	-10.899133
3prs_ligand_51	-6.5115247
3prs_ligand_56	-6.475043
3prs_ligand_62	-5.403135
3prs_ligand_66	-5.9092813
3prs_ligand_73	-6.7147937
3prs_ligand_77	-6.76455
3prs_ligand_81	-6.256682
3prs_ligand_86	-6.531643
3prs_ligand_88	-6.326754
3prs_ligand_91	-7.5700088
3prs_ligand_94	-6.407599
3prs_ligand_95	-6.024667
3prs_ligand_99	-6.113338
3pww_ligand_101	-6.036369
3pww_ligand_103	-6.1307135
3pww_ligand_111	-5.748987
3pww_ligand_116	-5.6664276
3pww_ligand_124	-5.8437014
3pww_ligand_127	-6.438154
3pww_ligand_134	-6.3752756
3pww_ligand_135	-5.634832
3pww_ligand_136	-6.4718122
3pww_ligand_139	-6.921801
3pww_ligand_13	-6.7873077
3pww_ligand_141	-6.603866
3pww_ligand_142	-7.036008
3pww_ligand_149	-10.195912
3pww_ligand_150	-7.0665936
3pww_ligand_161	-11.167726
3pww_ligand_162	-10.976581
3pww_ligand_171	-11.681516
