#code_ligand_num	score
3p5o_ligand_100	-5.804015
3p5o_ligand_102	-6.3366184
3p5o_ligand_103	-5.9911876
3p5o_ligand_106	-5.8899217
3p5o_ligand_113	-6.0679393
3p5o_ligand_114	-6.793344
3p5o_ligand_118	-6.059673
3p5o_ligand_11	-6.2494845
3p5o_ligand_122	-6.371349
3p5o_ligand_136	-6.3643813
3p5o_ligand_159	-7.906551
3p5o_ligand_164	-6.7940392
3p5o_ligand_165	-6.984065
3p5o_ligand_16	-5.7772746
3p5o_ligand_172	-7.0026436
3p5o_ligand_173	-8.275459
3p5o_ligand_176	-8.035682
3p5o_ligand_17	-6.539243
3p5o_ligand_181	-6.740653
3p5o_ligand_185	-7.567493
3p5o_ligand_187	-6.5663996
3p5o_ligand_189	-7.0631437
3p5o_ligand_18	-5.751936
3p5o_ligand_192	-6.2763877
3p5o_ligand_196	-6.493167
3p5o_ligand_197	-5.4829707
3p5o_ligand_202	-5.961885
3p5o_ligand_203	-6.129381
3p5o_ligand_204	-5.8501086
3p5o_ligand_205	-6.132736
3p5o_ligand_212	-6.1610303
3p5o_ligand_214	-6.126909
3p5o_ligand_215	-5.943584
3p5o_ligand_217	-6.114369
3p5o_ligand_218	-6.7677474
3p5o_ligand_219	-5.9051003
3p5o_ligand_222	-5.8200774
3p5o_ligand_223	-7.625052
3p5o_ligand_229	-5.8858905
3p5o_ligand_230	-5.2871103
3p5o_ligand_231	-6.372867
3p5o_ligand_233	-6.1689725
3p5o_ligand_234	-5.4585695
3p5o_ligand_235	-6.408154
3p5o_ligand_237	-5.9555497
3p5o_ligand_238	-4.9645085
3p5o_ligand_239	-5.5429673
3p5o_ligand_241	-5.635
3p5o_ligand_243	-5.1631584
3p5o_ligand_244	-5.18505
3p5o_ligand_247	-5.5334373
3p5o_ligand_248	-6.7997665
3p5o_ligand_253	-6.9951797
3p5o_ligand_254	-6.564262
3p5o_ligand_255	-5.6661873
3p5o_ligand_264	-5.936229
3p5o_ligand_282	-6.4342737
3p5o_ligand_283	-6.724507
3p5o_ligand_284	-6.1414237
3p5o_ligand_285	-6.698516
3p5o_ligand_287	-5.881635
3p5o_ligand_291	-6.7826476
3p5o_ligand_294	-5.4482083
3p5o_ligand_299	-6.068075
3p5o_ligand_305	-6.2979746
3p5o_ligand_308	-7.2706485
3p5o_ligand_309	-5.8616605
3p5o_ligand_311	-7.043714
3p5o_ligand_316	-8.151552
3p5o_ligand_317	-6.4471865
3p5o_ligand_321	-7.32051
3p5o_ligand_329	-7.2481
3p5o_ligand_335	-6.7632995
3p5o_ligand_338	-7.0220046
3p5o_ligand_339	-7.20375
3p5o_ligand_340	-7.476642
3p5o_ligand_341	-6.417423
3p5o_ligand_343	-7.4354744
3p5o_ligand_345	-6.941493
3p5o_ligand_348	-5.7255692
3p5o_ligand_34	-5.832897
3p5o_ligand_350	-7.488042
3p5o_ligand_355	-6.1935496
3p5o_ligand_37	-7.267085
3p5o_ligand_400	-5.632941
3p5o_ligand_49	-6.309622
3p5o_ligand_52	-5.8951316
