#code_ligand_num	score
4eky_ligand_127	-5.982029
4eky_ligand_130	-7.570731
4eky_ligand_148	-6.9748416
4eky_ligand_155	-8.527083
4eky_ligand_156	-7.7373486
4eky_ligand_159	-8.013747
4eky_ligand_15	-6.849208
4eky_ligand_160	-8.0967245
4eky_ligand_164	-7.7411656
4eky_ligand_166	-7.985981
4eky_ligand_172	-9.371689
4eky_ligand_181	-8.314296
4eky_ligand_184	-8.253813
4eky_ligand_191	-8.498099
4eky_ligand_193	-8.185093
4eky_ligand_200	-8.755239
4eky_ligand_201	-7.114519
4eky_ligand_202	-6.9489465
4eky_ligand_204	-4.874905
4eky_ligand_206	-6.8847985
4eky_ligand_207	-5.844218
4eky_ligand_208	-6.204017
4eky_ligand_212	-6.1862354
4eky_ligand_214	-7.7326064
4eky_ligand_217	-5.363064
4eky_ligand_218	-5.7267222
4eky_ligand_220	-6.780912
4eky_ligand_221	-6.394611
4eky_ligand_222	-5.5810094
4eky_ligand_225	-5.7739224
4eky_ligand_232	-5.2041235
4eky_ligand_233	-6.949221
4eky_ligand_234	-5.581721
4eky_ligand_235	-5.7704353
4eky_ligand_238	-6.6295342
4eky_ligand_239	-7.3769836
4eky_ligand_240	-6.777237
4eky_ligand_241	-5.9185305
4eky_ligand_242	-5.1912413
4eky_ligand_244	-6.999367
4eky_ligand_245	-8.357479
4eky_ligand_249	-7.391186
4eky_ligand_250	-5.630881
4eky_ligand_251	-6.9427185
4eky_ligand_252	-8.045675
4eky_ligand_254	-8.145288
4eky_ligand_257	-6.9085464
4eky_ligand_258	-5.8304853
4eky_ligand_259	-6.7706995
4eky_ligand_263	-7.5041695
4eky_ligand_265	-7.00714
4eky_ligand_266	-7.05701
4eky_ligand_269	-7.176123
4eky_ligand_272	-6.593332
4eky_ligand_276	-6.142153
4eky_ligand_278	-7.195946
4eky_ligand_283	-6.13561
4eky_ligand_286	-7.669892
4eky_ligand_297	-7.0621614
4eky_ligand_298	-6.608147
4eky_ligand_299	-6.830275
4eky_ligand_308	-8.346478
4eky_ligand_320	-7.2587175
4eky_ligand_321	-7.56432
4eky_ligand_324	-8.561574
4eky_ligand_331	-7.9372025
4eky_ligand_332	-7.278543
4eky_ligand_339	-8.4068985
4eky_ligand_340	-6.443029
4eky_ligand_347	-6.910797
4eky_ligand_348	-7.2133083
4eky_ligand_351	-9.162768
4eky_ligand_353	-12.54228
4eky_ligand_355	-9.654911
4eky_ligand_357	-7.9294662
4eky_ligand_361	-7.1412053
4eky_ligand_362	-11.6225
4eky_ligand_366	-7.4885936
4eky_ligand_367	-9.099969
4eky_ligand_372	-6.8111897
4eky_ligand_379	-7.0079093
4eky_ligand_384	-10.634605
4eky_ligand_385	-17.86392
4eky_ligand_393	-16.101566
4eky_ligand_397	-8.960681
4eky_ligand_39	-7.6555824
4eky_ligand_401	-7.564499
4eky_ligand_415	-7.308941
4eky_ligand_419	-7.414762
4eky_ligand_423	-7.5952306
4eky_ligand_431	-7.1675787
4eky_ligand_434	-8.901531
4eky_ligand_446	-7.482433
4eky_ligand_447	-8.360058
4eky_ligand_448	-6.9687157
4eky_ligand_449	-8.255993
4eky_ligand_44	-7.0250497
4eky_ligand_61	-6.7991824
4eky_ligand_74	-6.0288286
4eky_ligand_76	-6.651997
4eo8_ligand_104	-4.9225473
4eo8_ligand_10	-4.648932
4eo8_ligand_112	-3.6198196
4eo8_ligand_115	-4.461443
4eo8_ligand_11	-4.6730857
4eo8_ligand_120	-4.751851
4eo8_ligand_122	-8.749573
4eo8_ligand_125	-6.4267893
4eo8_ligand_128	-5.2127867
4eo8_ligand_12	-5.050301
4eo8_ligand_130	-4.8103347
4eo8_ligand_133	-4.623388
4eo8_ligand_137	-3.4565508
4eo8_ligand_138	-4.7784705
4eo8_ligand_13	-4.841454
4eo8_ligand_141	-4.0557733
4eo8_ligand_145	-4.201492
4eo8_ligand_148	-4.3865056
4eo8_ligand_149	-4.2826414
4eo8_ligand_14	-4.933026
4eo8_ligand_152	-7.55376
4eo8_ligand_163	-9.232171
4eo8_ligand_164	-8.176072
4eo8_ligand_16	-4.713409
4eo8_ligand_170	-8.36079
4eo8_ligand_177	-7.9412045
4eo8_ligand_187	-8.31888
4eo8_ligand_18	-4.358713
4eo8_ligand_190	-7.8705535
4eo8_ligand_193	-9.016902
4eo8_ligand_196	-8.5392475
4eo8_ligand_201	-6.5078926
4eo8_ligand_202	-7.1257606
4eo8_ligand_203	-7.685826
4eo8_ligand_207	-9.093434
4eo8_ligand_208	-6.530029
4eo8_ligand_211	-6.08481
4eo8_ligand_212	-6.2448425
4eo8_ligand_213	-6.6200294
4eo8_ligand_218	-5.248608
4eo8_ligand_220	-6.319654
4eo8_ligand_221	-6.816291
4eo8_ligand_222	-6.448203
4eo8_ligand_225	-4.976643
4eo8_ligand_227	-6.05045
4eo8_ligand_234	-4.4790196
4eo8_ligand_235	-6.941615
4eo8_ligand_237	-4.9032526
4eo8_ligand_242	-4.6714025
4eo8_ligand_247	-6.3072057
4eo8_ligand_249	-6.780909
4eo8_ligand_263	-7.817787
4eo8_ligand_270	-6.891343
4eo8_ligand_272	-8.577835
4eo8_ligand_274	-7.357475
4eo8_ligand_279	-6.3962483
4eo8_ligand_27	-5.161036
4eo8_ligand_288	-7.4404235
4eo8_ligand_295	-8.085039
4eo8_ligand_299	-6.834857
4eo8_ligand_2	-4.2600393
4eo8_ligand_302	-7.4169064
4eo8_ligand_319	-9.494731
4eo8_ligand_32	-5.7822657
4eo8_ligand_333	-6.976545
4eo8_ligand_335	-7.3335443
4eo8_ligand_34	-4.4583488
4eo8_ligand_350	-5.295397
4eo8_ligand_35	-3.8427343
4eo8_ligand_36	-3.9505386
4eo8_ligand_370	-9.101647
4eo8_ligand_37	-4.297919
4eo8_ligand_39	-4.6531653
4eo8_ligand_3	-4.3385715
4eo8_ligand_40	-4.941217
4eo8_ligand_45	-5.309754
4eo8_ligand_471	-6.6269555
4eo8_ligand_48	-4.7870545
4eo8_ligand_49	-4.642015
4eo8_ligand_4	-4.9152164
4eo8_ligand_52	-4.7694006
4eo8_ligand_54	-4.9603124
4eo8_ligand_55	-4.9618807
4eo8_ligand_56	-4.1803493
4eo8_ligand_58	-4.285364
4eo8_ligand_59	-7.703834
4eo8_ligand_5	-4.658991
4eo8_ligand_67	-4.227961
4eo8_ligand_68	-4.3059125
4eo8_ligand_6	-7.008815
4eo8_ligand_70	-4.8793316
4eo8_ligand_72	-4.294206
4eo8_ligand_78	-4.7490997
4eo8_ligand_79	-7.015322
4eo8_ligand_82	-3.7817662
4eo8_ligand_83	-7.9685307
4eo8_ligand_90	-3.9149594
4eo8_ligand_92	-4.568023
4eo8_ligand_95	-4.6215715
4eo8_ligand_98	-9.345752
4eor_ligand_116	-7.6863713
4eor_ligand_129	-8.991589
4eor_ligand_131	-7.6329737
4eor_ligand_133	-8.51137
4eor_ligand_137	-7.842531
4eor_ligand_146	-7.806407
4eor_ligand_151	-8.326242
4eor_ligand_154	-8.493061
4eor_ligand_160	-8.006104
4eor_ligand_163	-8.947692
4eor_ligand_168	-7.850303
4eor_ligand_169	-8.246191
4eor_ligand_179	-7.7387934
4eor_ligand_182	-8.928438
4eor_ligand_187	-9.3182125
4eor_ligand_188	-8.980633
4eor_ligand_191	-8.935569
4eor_ligand_192	-8.782565
4eor_ligand_196	-8.521748
4eor_ligand_19	-9.028267
4eor_ligand_200	-8.847388
4eor_ligand_201	-8.161984
4eor_ligand_203	-7.5783567
4eor_ligand_205	-8.397429
4eor_ligand_207	-7.916558
4eor_ligand_208	-7.2931037
4eor_ligand_210	-6.645143
4eor_ligand_222	-6.664464
4eor_ligand_224	-8.702064
4eor_ligand_226	-6.3856883
4eor_ligand_227	-7.796268
4eor_ligand_229	-6.001803
4eor_ligand_230	-7.289393
4eor_ligand_231	-6.040771
4eor_ligand_232	-8.3645525
4eor_ligand_237	-7.1405683
4eor_ligand_238	-7.42348
4eor_ligand_23	-8.455849
4eor_ligand_243	-6.4690833
4eor_ligand_244	-7.0755177
4eor_ligand_249	-6.483343
4eor_ligand_250	-7.559585
4eor_ligand_253	-7.5778275
4eor_ligand_257	-8.514932
4eor_ligand_262	-5.952039
4eor_ligand_266	-8.792882
4eor_ligand_268	-8.024203
4eor_ligand_272	-7.314629
4eor_ligand_273	-8.6175375
4eor_ligand_282	-7.3853517
4eor_ligand_283	-7.667104
4eor_ligand_285	-8.625745
4eor_ligand_286	-7.064669
4eor_ligand_295	-8.198316
4eor_ligand_297	-6.858858
4eor_ligand_2	-8.088403
4eor_ligand_306	-7.496317
4eor_ligand_308	-6.123448
4eor_ligand_318	-9.172234
4eor_ligand_323	-7.5598626
4eor_ligand_325	-8.266052
4eor_ligand_338	-7.223316
4eor_ligand_341	-8.556326
4eor_ligand_345	-7.6949015
4eor_ligand_350	-7.694245
4eor_ligand_355	-7.9549794
4eor_ligand_356	-8.128611
4eor_ligand_364	-7.8053093
4eor_ligand_36	-6.7884707
4eor_ligand_377	-8.342984
4eor_ligand_379	-8.852462
4eor_ligand_381	-7.0269613
4eor_ligand_389	-7.4440956
4eor_ligand_397	-8.470822
4eor_ligand_404	-9.068526
4eor_ligand_426	-8.670532
4eor_ligand_435	-6.5921454
4eor_ligand_436	-8.118208
4eor_ligand_444	-7.9372582
4eor_ligand_445	-8.418503
4eor_ligand_446	-8.790283
4eor_ligand_449	-6.8170996
4eor_ligand_45	-7.999915
4eor_ligand_466	-8.798536
4eor_ligand_481	-8.847241
4eor_ligand_487	-5.7541895
4eor_ligand_499	-8.386308
4eor_ligand_50	-7.7304163
4eor_ligand_58	-7.692848
4eor_ligand_61	-6.3528986
4eor_ligand_62	-5.935743
4eor_ligand_69	-6.249888
