#code_ligand_num	score
1qf1_ligand_244	-6.2519097
1qf1_ligand_245	-6.7575355
1qf1_ligand_246	-6.090833
1qf1_ligand_249	-6.731093
1qf1_ligand_250	-7.256209
1qf1_ligand_265	-7.5473695
1qf1_ligand_268	-8.04232
1qf1_ligand_274	-7.608396
1qf1_ligand_276	-6.989184
1qf1_ligand_277	-7.5898914
1qf1_ligand_279	-7.791873
1qf1_ligand_281	-6.4790006
1qf1_ligand_283	-7.349025
1qf1_ligand_285	-8.032507
1qf1_ligand_289	-7.6554103
1qf1_ligand_293	-7.5336237
1qf1_ligand_296	-9.310863
1qf1_ligand_2	-6.6893644
1qf1_ligand_301	-7.919907
1qf1_ligand_302	-7.626234
1qf1_ligand_303	-8.161675
1qf1_ligand_304	-7.608123
1qf1_ligand_306	-7.9415956
1qf1_ligand_310	-8.301377
1qf1_ligand_312	-7.52993
1qf1_ligand_314	-8.105009
1qf1_ligand_318	-7.7723446
1qf1_ligand_321	-7.307287
1qf1_ligand_324	-8.064724
1qf1_ligand_325	-8.51379
1qf1_ligand_327	-7.3764567
1qf1_ligand_330	-7.2472506
1qf1_ligand_332	-6.79001
1qf1_ligand_334	-7.7396374
1qf1_ligand_341	-7.560522
1qf1_ligand_342	-6.662908
1qf1_ligand_348	-7.753759
1qf1_ligand_366	-8.431886
1qf1_ligand_369	-8.685948
1qf1_ligand_370	-7.5015798
1qf1_ligand_376	-7.4874945
1qf1_ligand_383	-8.157386
1qf1_ligand_388	-7.5900836
1qf1_ligand_395	-6.885061
1qf1_ligand_400	-6.501885
1qf1_ligand_406	-8.92375
1qf1_ligand_445	-7.907042
1qf1_ligand_475	-9.09714
1qf1_ligand_47	-6.427833
1qf1_ligand_51	-6.2149515
1qkt_ligand_155	-7.8452125
1qkt_ligand_156	-7.9119363
1qkt_ligand_161	-6.9899764
1qkt_ligand_164	-8.162434
1qkt_ligand_166	-7.6994624
1qkt_ligand_169	-6.9130287
1qkt_ligand_170	-8.111193
1qkt_ligand_171	-6.8802094
1qkt_ligand_175	-6.545488
1qkt_ligand_179	-6.3489313
1qkt_ligand_180	-6.809227
1qkt_ligand_181	-6.8841877
1qkt_ligand_182	-7.0059104
1qkt_ligand_184	-6.6482162
1qkt_ligand_185	-7.9127045
1qkt_ligand_186	-8.680833
1qkt_ligand_187	-7.7357845
1qkt_ligand_188	-8.365242
1qkt_ligand_190	-6.5657945
1qkt_ligand_191	-7.1850243
1qkt_ligand_192	-8.229163
1qkt_ligand_195	-7.388335
1qkt_ligand_197	-7.4088435
1qkt_ligand_198	-6.7272997
1qkt_ligand_209	-6.7998786
1qkt_ligand_210	-6.664485
1qkt_ligand_212	-6.06502
1qkt_ligand_216	-6.9481
1qkt_ligand_219	-6.6416
1qkt_ligand_222	-6.5272512
1qkt_ligand_223	-5.9478297
1qkt_ligand_224	-5.7249265
1qkt_ligand_226	-6.4472346
1qkt_ligand_227	-5.731445
1qkt_ligand_230	-6.193536
1qkt_ligand_232	-5.7231164
1qkt_ligand_239	-6.847152
1qkt_ligand_240	-6.602268
1qkt_ligand_241	-6.6953816
1qkt_ligand_243	-6.2584133
1qkt_ligand_244	-6.7355123
1qkt_ligand_248	-6.9462333
1qkt_ligand_250	-6.31634
1qkt_ligand_255	-7.298584
1qkt_ligand_259	-7.8046103
1qkt_ligand_260	-6.714336
1qkt_ligand_263	-6.1917715
1qkt_ligand_268	-6.6492743
1qkt_ligand_269	-6.26088
1qkt_ligand_274	-5.6490316
1qkt_ligand_276	-6.8105845
1qkt_ligand_282	-6.1954026
1qkt_ligand_287	-7.147549
1qkt_ligand_288	-6.3042297
1qkt_ligand_289	-7.060962
1qkt_ligand_294	-5.851311
1qkt_ligand_295	-6.4410458
1qkt_ligand_297	-5.9303617
1qkt_ligand_301	-6.809228
1qkt_ligand_302	-7.471368
1qkt_ligand_304	-6.02516
1qkt_ligand_309	-5.7569203
1qkt_ligand_313	-7.7388005
1qkt_ligand_315	-6.792685
