#code	score
1a30	-7.829036
1bcu	-5.167406
1bzc	-4.349368
1c5z	-5.1144867
1e66	-8.997725
1eby	-11.896393
1g2k	-11.827097
1gpk	-7.910711
1gpn	-8.198236
1h22	-11.466307
1h23	-11.518516
1k1i	-7.9370036
1lpg	-10.456162
1mq6	-9.1833315
1nc1	-8.656236
1nc3	-7.7980113
1nvq	-11.539376
1o0h	-4.755608
1o3f	-7.468707
1o5b	-5.1120706
1owh	-6.621824
1oyt	-9.838115
1p1n	-7.4613533
1p1q	-7.1754684
1ps3	-8.028725
1pxn	-8.796981
1q8t	-8.084636
1q8u	-8.443697
1qf1	-6.975763
1qkt	-8.961085
1r5y	-6.7781377
1s38	-6.312148
1sqa	-8.22548
1syi	-7.8641725
1u1b	-7.04382
1uto	-3.984834
1vso	-7.0352874
1w4o	-5.8030233
1y6r	-8.742861
1yc1	-9.085783
1ydr	-8.543165
1ydt	-10.547948
1z6e	-11.09341
1z95	-9.61148
1z9g	-4.946925
2al5	-7.646425
2br1	-9.234844
2brb	-8.535196
2c3i	-10.159165
2cbv	-7.900265
2cet	-10.247466
2fvd	-10.573042
2fxs	-7.754685
2hb1	-6.469655
2iwx	-8.179823
2j78	-7.977623
2j7h	-7.460489
2p15	-9.278044
2p4y	-10.201902
2pog	-9.595197
2qbp	-8.109308
2qbq	-7.9567156
2qbr	-7.8140645
2qe4	-9.822347
2qnq	-10.400103
2r9w	-7.897976
2v00	-6.498206
2v7a	-11.312677
2vkm	-11.122265
2vvn	-7.630554
2vw5	-9.827763
2w4x	-7.248837
2w66	-7.75698
2wbg	-9.852099
2wca	-7.3392544
2weg	-5.8179417
2wer	-8.263746
2wn9	-7.8235326
2wnc	-7.67682
2wtv	-11.037991
2wvt	-7.0861845
2x00	-9.362654
2xb8	-8.482197
2xbv	-11.197737
2xdl	-6.6939316
2xii	-9.057749
2xj7	-7.8777785
2xnb	-9.713741
2xys	-8.574468
2y5h	-8.001822
2yfe	-9.226743
2yge	-9.694583
2yki	-11.286585
2ymd	-7.404423
2zb1	-10.90998
2zcq	-6.900733
2zcr	-8.396795
2zda	-9.57574
2zy1	-7.8118463
3acw	-8.55073
3ag9	-10.368373
3ao4	-6.622645
3arp	-9.453444
3arq	-8.520084
3aru	-6.5963902
3arv	-6.745122
3ary	-5.707193
3b1m	-10.519101
3b27	-6.051734
3b5r	-9.925874
3b65	-11.657049
3b68	-10.290336
3bgz	-9.246915
3bv9	-9.786255
3cj4	-6.4554825
3coy	-8.524332
3coz	-8.13186
3d4z	-8.002835
3d6q	-6.401475
3dd0	-5.3597736
3dx1	-7.007621
3dx2	-7.0604634
3dxg	-6.107992
3e5a	-10.344282
3e92	-10.870814
3e93	-11.822419
3ebp	-7.805183
3ehy	-6.158214
3ejr	-9.453024
3f3a	-7.931756
3f3c	-8.241452
3f3d	-5.687281
3f3e	-6.894598
3fcq	-5.705341
3fur	-9.532384
3fv1	-8.895683
3fv2	-8.36997
3g0w	-9.675212
3g2n	-7.2170105
3g2z	-5.234412
3g31	-4.0894976
3gbb	-7.9226565
3gc5	-7.903811
3ge7	-9.275059
3gnw	-10.5132675
3gr2	-5.5184584
3gv9	-5.364763
3gy4	-5.326998
3ivg	-8.952079
3jvr	-6.2987494
3jvs	-8.513662
3jya	-7.2383523
3k5v	-7.9235644
3kgp	-4.654883
3kr8	-8.277991
3kwa	-5.4485216
3l7b	-7.2458644
3lka	-5.511516
3mss	-5.8198876
3myg	-8.960383
3n76	-8.670801
3n7a	-6.3867106
3n86	-8.673915
3nq9	-4.540302
3nw9	-11.213531
3nx7	-6.7005763
3o9i	-12.205814
3oe4	-9.329294
3oe5	-9.338706
3ozs	-9.020577
3ozt	-9.404905
3p5o	-8.857921
3prs	-11.542308
3pww	-12.137619
3pxf	-6.291037
3pyy	-8.765845
3qgy	-8.698895
3qqs	-6.0376887
3r88	-5.421636
3rlr	-8.028202
3rr4	-7.3609533
3rsx	-4.6600494
3ryj	-6.4553967
3syr	-7.3003755
3tsk	-9.211736
3twp	-4.4797125
3u5j	-7.6599045
3u8k	-8.03456
3u8n	-8.9318285
3u9q	-5.969467
3udh	-6.058143
3ueu	-6.5757775
3uev	-6.5999746
3uew	-7.0598984
3uex	-7.6654043
3ui7	-8.193853
3uo4	-10.160633
3up2	-9.416245
3uri	-12.559394
3utu	-11.281582
3uuo	-7.3046613
3wtj	-7.4832497
3wz8	-9.270083
3zdg	-7.0898
3zso	-9.286468
3zsx	-8.159826
3zt2	-7.3812747
4abg	-4.9900146
4agn	-6.3515873
4agp	-6.8811746
4agq	-6.8526945
4bkt	-7.2297473
4cig	-8.431623
4ciw	-7.1379237
4cr9	-4.969216
4cra	-10.320813
4crc	-10.490321
4ddh	-6.4641895
4ddk	-5.967446
4de1	-6.9242854
4de2	-6.9603796
4de3	-6.944382
4djv	-9.051382
4dld	-8.05094
4dli	-8.498532
4e5w	-10.134339
4e6q	-9.652706
4ea2	-8.257199
4eky	-8.159215
4eo8	-6.887745
4eor	-9.520181
4f09	-8.199047
4f2w	-8.654111
4f3c	-9.808672
4f9w	-9.789519
4gfm	-7.5984216
4gid	-11.021683
4gkm	-5.952558
4gr0	-11.391433
4hge	-9.996595
4ih5	-6.554088
4ih7	-5.687921
4ivb	-9.486976
4ivc	-9.874513
4ivd	-9.791811
4j21	-9.167707
4j28	-7.2711368
4j3l	-10.286205
4jfs	-7.269242
4jia	-10.103394
4jsz	-4.4886723
4jxs	-6.057619
4k18	-11.392983
4k77	-8.188822
4kz6	-5.3386755
4kzq	-8.829416
4kzu	-8.843533
4llx	-5.236211
4lzs	-5.99539
4m0y	-8.208031
4m0z	-10.425592
4mgd	-9.069193
4mme	-9.008614
4ogj	-8.451014
4owm	-4.5787444
4pcs	-7.0407906
4qac	-10.121988
4qd6	-8.017321
4rfm	-10.603455
4tmn	-9.416168
4twp	-10.373485
4ty7	-9.543306
4u4s	-5.4293184
4w9c	-8.529971
4w9h	-9.05752
4w9i	-8.499758
4w9l	-9.728872
4wiv	-6.968694
4x6p	-10.782357
5a7b	-7.0847163
5aba	-5.8915963
5c28	-5.69302
5c2h	-9.956933
5dwr	-10.502741
5tmn	-7.727526
