#code	score
1eby_169	11.988144
1eby_211	-6.5049996
1eby_217	-7.910862
1eby_218	-4.698763
1eby_223	-6.9553623
1eby_231	5.5481815
1eby_233	-6.292246
1eby_237	11.367927
1eby_238	-8.792079
1eby_244	-5.1480513
1eby_245	7.146287
1eby_255	-7.675113
1eby_259	5.961657
1eby_262	-8.11576
1eby_265	-7.314242
1eby_266	9.01403
1eby_269	1.1935208
1eby_271	-6.604963
1eby_279	-3.8529558
1eby_294	-1.2058233
1eby_295	-7.3672457
1eby_297	14.832377
1eby_299	-7.3968735
1eby_326	6.74056
1eby_350	3.385491
1eby_361	-2.6784048
1eby_364	-9.283528
1eby_372	6.475825
1eby_414	136.53207
1eby_416	97.39002
1eby_444	188.0793
1eby_447	146.8832
1eby_453	229.48169
1eby_456	226.69305
1eby_464	180.16286
1eby_470	219.49667
1eby_472	135.79022
1eby_473	322.10413
1eby_477	144.28702
1eby_481	104.45877
1eby_488	72.35618
1eby_490	128.80928
1eby_493	76.93529
1eby_499	115.05668
1eby_503	16.769588
1eby_507	19.704737
1eby_514	46.597343
1eby_517	21.688627
1eby_519	42.89506
1eby_531	56.134724
1eby_532	53.748886
1eby_535	40.239853
1eby_538	82.05166
1eby_540	31.571785
1eby_548	129.68355
1eby_556	215.41547
1eby_563	101.35992
1eby_569	37.717674
1eby_571	92.7501
1eby_572	24.92363
1eby_573	37.4884
1eby_575	139.66652
1eby_576	53.960487
1eby_580	80.901
1eby_582	65.815384
1eby_584	69.25459
1eby_595	56.111027
1eby_597	35.042007
1eby_600	68.96568
1eby_634	91.01993
1eby_641	28.593115
1eby_645	78.51842
1eby_647	72.3715
1eby_649	98.52211
1eby_658	165.50732
1eby_659	97.15332
1eby_667	129.0275
1eby_673	96.8413
1eby_688	70.76891
1eby_689	39.936604
1eby_694	80.356125
1eby_731	3.6919904
1eby_741	4.990821
1eby_751	10.297512
1eby_763	6.7252145
1eby_767	5.536402
1eby_769	6.186522
1eby_770	6.744571
1eby_771	4.325762
1eby_772	5.4525003
1eby_773	8.160977
1eby_774	6.5351653
1eby_777	4.7847548
1eby_779	6.3367295
1eby_791	12.658915
1eby_792	6.7184873
1eby_803	-4.435488
1eby_813	-1.8881093
1eby_826	9.772734
1eby_848	-4.017033
1eby_ligand	-9.340633
