#code	score
1lpg_106	3.022314
1lpg_122	8.267333
1lpg_149	4.0495353
1lpg_16	3.2798274
1lpg_198	5.7610326
1lpg_212	4.8256016
1lpg_227	4.0236473
1lpg_237	6.211526
1lpg_239	5.3006005
1lpg_244	4.038241
1lpg_249	6.031766
1lpg_253	3.2466724
1lpg_254	9.63401
1lpg_256	8.595919
1lpg_262	5.7813535
1lpg_266	8.454562
1lpg_273	10.248566
1lpg_282	6.0541153
1lpg_285	3.9104984
1lpg_286	4.3767405
1lpg_290	8.679839
1lpg_296	12.901625
1lpg_311	6.149363
1lpg_319	4.597382
1lpg_320	6.5412774
1lpg_323	5.26751
1lpg_327	4.418777
1lpg_348	4.6371603
1lpg_398	3.6653354
1lpg_403	74.11302
1lpg_404	37.14388
1lpg_405	19.884577
1lpg_407	64.19384
1lpg_412	20.279587
1lpg_41	5.2563643
1lpg_420	28.456667
1lpg_434	52.36163
1lpg_441	38.053272
1lpg_444	42.965187
1lpg_447	33.97317
1lpg_448	34.220226
1lpg_451	55.50851
1lpg_455	69.05524
1lpg_460	40.796375
1lpg_462	35.344246
1lpg_468	52.532555
1lpg_480	57.242153
1lpg_488	18.677425
1lpg_492	38.94616
1lpg_495	21.909285
1lpg_497	33.002342
1lpg_499	67.523605
1lpg_500	53.458958
1lpg_514	21.87221
1lpg_522	10.009956
1lpg_532	16.006609
1lpg_538	21.809723
1lpg_539	36.061337
1lpg_551	17.990559
1lpg_552	19.630072
1lpg_555	30.750021
1lpg_556	36.69091
1lpg_559	36.038017
1lpg_562	20.464552
1lpg_570	26.071264
1lpg_575	14.280919
1lpg_582	13.856691
1lpg_585	11.365748
1lpg_589	21.406553
1lpg_599	27.328459
1lpg_619	24.78474
1lpg_61	7.065903
1lpg_623	44.268997
1lpg_639	33.772972
1lpg_642	15.489126
1lpg_645	32.340633
1lpg_646	30.614733
1lpg_656	23.40197
1lpg_665	56.66513
1lpg_670	15.085444
1lpg_678	30.500223
1lpg_679	42.980076
1lpg_687	17.5355
1lpg_695	14.066676
1lpg_703	4.2129993
1lpg_733	3.0995402
1lpg_734	5.8717847
1lpg_740	1.6942421
1lpg_750	2.8962395
1lpg_751	0.9415525
1lpg_75	1.3250908
1lpg_791	5.9907703
1lpg_866	5.8773637
1lpg_86	5.8898993
1lpg_885	4.7320457
1lpg_925	5.8745584
1lpg_958	7.4360366
1lpg_972	4.322235
1lpg_98	6.6434526
1lpg_994	5.3576303
1lpg_ligand	-1.6880828
