#code	score
1p1q_121	0.5908073
1p1q_134	2.8902555
1p1q_169	-0.15218514
1p1q_202	6.2010694
1p1q_239	6.648524
1p1q_255	6.941289
1p1q_317	1.4167194
1p1q_357	-1.6392313
1p1q_358	0.6288815
1p1q_394	-2.8269603
1p1q_411	5.694734
1p1q_412	9.34096
1p1q_544	14.369846
1p1q_559	10.530964
1p1q_560	9.424088
1p1q_570	13.839948
1p1q_574	9.30908
1p1q_578	12.679332
1p1q_596	13.826363
1p1q_603	3.402317
1p1q_604	8.995116
1p1q_614	6.6036897
1p1q_636	10.153471
1p1q_640	19.110287
1p1q_644	4.777038
1p1q_646	4.4146876
1p1q_664	17.225206
1p1q_677	14.48065
1p1q_698	10.724535
1p1q_713	4.5672483
1p1q_729	8.64022
1p1q_736	11.923444
1p1q_740	6.45476
1p1q_746	4.048608
1p1q_751	4.265797
1p1q_759	9.950271
1p1q_773	9.484135
1p1q_779	8.575257
1p1q_785	8.310442
1p1q_789	8.542337
1p1q_794	5.9251766
1p1q_848	4.6396356
1p1q_853	6.564597
1p1q_85	6.4545345
1p1q_860	5.197608
1p1q_872	7.035342
1p1q_890	8.278875
1p1q_892	8.860613
1p1q_897	5.7896476
1p1q_975	-0.97305894
1p1q_ligand	1.285157
