#code	score
1q8t_142	4.249574
1q8t_151	-1.7559568
1q8t_152	-2.7432356
1q8t_262	-7.422507
1q8t_281	-2.4948106
1q8t_411	20.894623
1q8t_450	9.503323
1q8t_459	9.706832
1q8t_479	15.369491
1q8t_504	7.6828537
1q8t_505	13.5027895
1q8t_507	6.4003778
1q8t_513	11.84584
1q8t_514	10.65173
1q8t_534	12.5972395
1q8t_538	6.65458
1q8t_539	11.475424
1q8t_540	12.194814
1q8t_547	13.573673
1q8t_548	7.044875
1q8t_553	9.269707
1q8t_564	7.784453
1q8t_567	12.23229
1q8t_576	10.490444
1q8t_579	11.021948
1q8t_582	5.911547
1q8t_598	6.313643
1q8t_601	13.259842
1q8t_60	-5.91822
1q8t_610	9.66818
1q8t_612	9.079314
1q8t_633	14.45756
1q8t_635	9.357928
1q8t_636	12.076044
1q8t_638	13.60709
1q8t_640	6.1829267
1q8t_651	14.405568
1q8t_653	10.697888
1q8t_656	10.414352
1q8t_658	9.697934
1q8t_661	10.511753
1q8t_677	5.9398284
1q8t_678	6.9088845
1q8t_686	12.9695215
1q8t_687	14.997949
1q8t_692	12.340573
1q8t_701	-0.03025965
1q8t_705	1.3957231
1q8t_706	0.27940813
1q8t_709	6.596809
1q8t_70	0.8931881
1q8t_718	9.221482
1q8t_727	3.6677344
1q8t_734	2.44922
1q8t_739	8.8431425
1q8t_741	5.238378
1q8t_744	17.73202
1q8t_747	13.50656
1q8t_749	18.124756
1q8t_751	19.099169
1q8t_752	28.604721
1q8t_753	19.235537
1q8t_754	37.88034
1q8t_756	64.61221
1q8t_761	61.773506
1q8t_762	32.783257
1q8t_766	77.61999
1q8t_767	76.701035
1q8t_768	59.85429
1q8t_770	94.483604
1q8t_774	102.444
1q8t_775	94.74601
1q8t_778	8.817638
1q8t_798	6.330475
1q8t_810	6.66094
1q8t_813	9.437631
1q8t_816	9.200327
1q8t_831	7.9926085
1q8t_832	8.2425
1q8t_844	9.1907425
1q8t_874	4.9953218
1q8t_879	-4.8816533
1q8t_887	0.6489527
1q8t_891	-4.637219
1q8t_895	4.508422
1q8t_897	2.6838388
1q8t_898	4.998788
1q8t_900	-1.4926794
1q8t_902	4.9568253
1q8t_903	-4.651661
1q8t_916	6.186666
1q8t_927	7.0355277
1q8t_943	8.114086
1q8t_946	8.312549
1q8t_962	0.78593916
1q8t_ligand	-6.703075
