#code	score
1r5y_113	-4.714415
1r5y_118	4.0354395
1r5y_167	-4.5628476
1r5y_179	1.4620295
1r5y_180	3.94517
1r5y_181	2.3140182
1r5y_197	-0.6259129
1r5y_270	-1.9050701
1r5y_317	4.988022
1r5y_322	7.016856
1r5y_324	5.6832285
1r5y_341	-4.181568
1r5y_397	5.645327
1r5y_402	4.532904
1r5y_405	10.794732
1r5y_409	16.134863
1r5y_412	11.068656
1r5y_416	11.875811
1r5y_423	8.157834
1r5y_425	14.00583
1r5y_426	12.726109
1r5y_432	18.076033
1r5y_434	17.839191
1r5y_441	15.174639
1r5y_443	18.192911
1r5y_445	11.936378
1r5y_452	8.211925
1r5y_453	4.81589
1r5y_464	8.75931
1r5y_469	8.639751
1r5y_477	14.572165
1r5y_480	9.884267
1r5y_496	17.670153
1r5y_497	26.161669
1r5y_498	18.553932
1r5y_524	13.218477
1r5y_537	5.6393256
1r5y_538	4.5916286
1r5y_540	7.036195
1r5y_541	10.934637
1r5y_542	9.489805
1r5y_545	10.077085
1r5y_547	4.971758
1r5y_553	12.595766
1r5y_562	13.070166
1r5y_566	9.962009
1r5y_568	15.349034
1r5y_571	7.0427794
1r5y_579	6.929511
1r5y_583	10.27158
1r5y_584	11.302256
1r5y_591	14.107033
1r5y_592	7.5199976
1r5y_595	6.056067
1r5y_599	15.145852
1r5y_616	12.621241
1r5y_639	15.548165
1r5y_641	13.057397
1r5y_686	22.96641
1r5y_691	9.216635
1r5y_694	14.29092
1r5y_727	8.147323
1r5y_732	8.309447
1r5y_733	8.358985
1r5y_735	6.937538
1r5y_745	6.462728
1r5y_746	8.833389
1r5y_751	7.5641003
1r5y_755	7.6665134
1r5y_759	7.747767
1r5y_762	8.379157
1r5y_763	7.896194
1r5y_766	9.5097275
1r5y_767	8.151307
1r5y_770	5.3727283
1r5y_776	9.084915
1r5y_777	15.245144
1r5y_780	9.224468
1r5y_782	8.181968
1r5y_783	8.094624
1r5y_785	8.350615
1r5y_786	7.573413
1r5y_787	6.9708834
1r5y_791	18.213448
1r5y_820	6.413779
1r5y_853	7.262219
1r5y_868	8.682359
1r5y_870	7.9102807
1r5y_883	8.33318
1r5y_887	7.900342
1r5y_90	-2.0577817
1r5y_928	6.6745553
1r5y_987	7.5760407
1r5y_ligand	-5.1415467
