#code	score
1vso_115	-1.6807672
1vso_174	1.2131891
1vso_198	2.1240487
1vso_214	6.37538
1vso_219	5.376208
1vso_243	4.019398
1vso_254	7.654576
1vso_273	0.9975071
1vso_301	0.5265007
1vso_310	1.0795268
1vso_358	-2.5536132
1vso_363	0.009459633
1vso_378	-0.70804656
1vso_379	8.401686
1vso_392	-0.6492756
1vso_401	7.1870737
1vso_407	13.828893
1vso_424	9.077564
1vso_433	7.828959
1vso_436	8.627592
1vso_439	6.1819086
1vso_444	5.554285
1vso_445	7.2267137
1vso_449	6.8760066
1vso_461	6.4428563
1vso_470	12.905465
1vso_487	15.321416
1vso_493	9.780221
1vso_494	8.132927
1vso_496	14.114977
1vso_497	10.607563
1vso_501	9.795659
1vso_516	23.22368
1vso_522	14.455821
1vso_545	17.010653
1vso_547	14.054714
1vso_549	7.84529
1vso_557	8.312731
1vso_558	7.536564
1vso_571	7.6731634
1vso_573	8.334002
1vso_575	12.381896
1vso_577	10.397276
1vso_579	10.161586
1vso_580	12.107794
1vso_581	8.871508
1vso_585	6.5563684
1vso_596	12.105014
1vso_597	9.764326
1vso_609	12.50987
1vso_617	7.417323
1vso_618	14.07288
1vso_624	12.1088295
1vso_630	9.161334
1vso_631	14.946139
1vso_636	16.163727
1vso_642	9.157103
1vso_644	8.61136
1vso_677	12.018635
1vso_685	11.495116
1vso_732	5.223851
1vso_74	6.8279085
1vso_753	6.418058
1vso_838	5.1539035
1vso_840	8.811552
1vso_850	0.46604168
1vso_910	3.0768504
1vso_954	4.5968165
1vso_957	-0.16833985
1vso_963	2.6993906
1vso_978	-2.1513524
1vso_ligand	-0.37922308
