#code	score
2cbv_291	2.45024
2cbv_312	4.610045
2cbv_409	4.9482403
2cbv_413	10.721306
2cbv_422	7.17888
2cbv_452	7.147943
2cbv_453	10.582773
2cbv_470	18.31895
2cbv_484	13.823145
2cbv_489	21.378115
2cbv_499	12.972604
2cbv_524	8.174088
2cbv_528	11.618274
2cbv_541	19.67733
2cbv_542	15.749195
2cbv_546	9.551585
2cbv_547	12.584909
2cbv_548	7.766116
2cbv_550	17.87982
2cbv_551	12.7553
2cbv_552	11.736236
2cbv_553	12.166303
2cbv_556	12.378693
2cbv_560	8.681561
2cbv_561	10.478839
2cbv_562	9.90551
2cbv_563	9.980867
2cbv_564	10.266715
2cbv_566	14.3798895
2cbv_567	9.882344
2cbv_568	8.187853
2cbv_571	11.014071
2cbv_573	9.399273
2cbv_579	11.367549
2cbv_583	11.79153
2cbv_586	9.522888
2cbv_590	11.585342
2cbv_591	12.491461
2cbv_592	8.477164
2cbv_593	9.426589
2cbv_595	6.7198825
2cbv_596	9.844881
2cbv_62	2.7244575
2cbv_658	10.958778
2cbv_661	15.606395
2cbv_675	7.5146036
2cbv_685	16.292862
2cbv_696	10.352532
2cbv_712	1.8997067
2cbv_719	2.209729
2cbv_753	4.788919
2cbv_759	4.5176287
2cbv_770	6.599277
2cbv_772	4.796171
2cbv_773	4.9157386
2cbv_781	3.4909708
2cbv_785	7.314625
2cbv_869	6.705172
2cbv_871	5.4515233
2cbv_872	5.5820847
2cbv_877	4.610665
2cbv_881	7.2947645
2cbv_90	4.7961445
2cbv_945	4.4059205
2cbv_984	-0.123491034
2cbv_985	-0.76727206
2cbv_ligand	4.401522
