#code	score
2pog_402	17.285534
2pog_404	7.5084457
2pog_405	-3.4968069
2pog_434	5.5014644
2pog_441	6.025772
2pog_457	15.470627
2pog_468	14.395002
2pog_470	12.0289955
2pog_473	16.745153
2pog_479	19.30466
2pog_491	33.01172
2pog_522	16.76504
2pog_530	6.7868814
2pog_531	9.4707
2pog_540	12.329904
2pog_552	6.7784147
2pog_572	10.017479
2pog_592	14.165665
2pog_593	14.882923
2pog_594	18.164013
2pog_619	18.21066
2pog_627	23.612133
2pog_652	19.301655
2pog_661	24.907408
2pog_694	17.170012
2pog_729	-4.5608273
2pog_731	-4.9356475
2pog_734	-4.6914515
2pog_750	3.1309462
2pog_752	5.5905685
2pog_760	9.4340515
2pog_772	6.780227
2pog_777	8.913637
2pog_785	8.509233
2pog_787	9.749313
2pog_788	12.425249
2pog_791	21.050821
2pog_792	17.608938
2pog_853	6.6407075
2pog_856	-4.886299
2pog_876	1.765794
2pog_967	-5.4837384
2pog_994	-4.8546185
2pog_ligand	-6.5093694
