#code	score
2qbp_100	3.5642252
2qbp_103	4.3793583
2qbp_110	11.390779
2qbp_118	9.463863
2qbp_125	6.1473017
2qbp_13	6.6687603
2qbp_152	11.840996
2qbp_155	6.370283
2qbp_158	6.129331
2qbp_160	4.6751404
2qbp_168	8.461278
2qbp_187	7.8555536
2qbp_191	13.07568
2qbp_19	4.2503495
2qbp_204	8.8901205
2qbp_207	4.66734
2qbp_208	8.158676
2qbp_225	-0.5049181
2qbp_233	4.077492
2qbp_234	3.5827193
2qbp_239	-1.2416676
2qbp_23	1.6321915
2qbp_255	7.5309615
2qbp_256	6.1919646
2qbp_259	-1.2405304
2qbp_260	1.6564887
2qbp_265	2.9888694
2qbp_268	9.902754
2qbp_272	-1.2381167
2qbp_276	10.001612
2qbp_27	10.399443
2qbp_283	3.7001421
2qbp_286	4.6041336
2qbp_288	0.854484
2qbp_28	-1.3473411
2qbp_292	4.8187566
2qbp_297	0.038677882
2qbp_29	0.7601945
2qbp_310	10.009063
2qbp_35	0.3609913
2qbp_368	4.3589163
2qbp_371	8.615341
2qbp_37	9.799981
2qbp_411	27.540363
2qbp_415	50.5169
2qbp_463	70.59769
2qbp_464	31.061995
2qbp_488	53.622345
2qbp_489	29.878819
2qbp_491	38.958893
2qbp_498	96.64778
2qbp_503	10.70108
2qbp_504	16.859043
2qbp_50	5.002427
2qbp_528	25.15484
2qbp_53	5.585441
2qbp_546	21.444227
2qbp_549	13.458728
2qbp_554	32.46047
2qbp_558	40.525616
2qbp_559	16.753786
2qbp_561	71.898315
2qbp_567	18.360523
2qbp_572	15.475195
2qbp_585	10.670075
2qbp_591	18.443169
2qbp_593	8.42817
2qbp_596	31.609442
2qbp_608	29.501385
2qbp_615	21.218103
2qbp_622	78.21727
2qbp_623	26.705519
2qbp_630	51.4267
2qbp_631	31.414251
2qbp_648	15.696127
2qbp_650	64.5292
2qbp_654	46.449978
2qbp_656	19.717667
2qbp_665	30.28749
2qbp_676	26.970139
2qbp_690	52.625435
2qbp_693	31.35944
2qbp_695	24.751957
2qbp_71	-3.496017
2qbp_741	4.677876
2qbp_744	2.0899036
2qbp_74	4.8405
2qbp_78	4.684554
2qbp_79	5.50687
2qbp_80	1.7238257
2qbp_84	5.6875405
2qbp_85	16.157509
2qbp_890	5.383154
2qbp_92	0.35156873
2qbp_94	6.7175746
2qbp_97	9.196327
2qbp_ligand	-5.659527
