#code	score
2r9w_124	7.2904515
2r9w_145	2.9975245
2r9w_202	11.1246805
2r9w_206	6.451434
2r9w_246	11.736197
2r9w_247	6.1737456
2r9w_307	5.3260784
2r9w_393	7.1365204
2r9w_411	15.106634
2r9w_449	15.264988
2r9w_460	12.402293
2r9w_462	17.19846
2r9w_478	30.084238
2r9w_49	7.682873
2r9w_505	13.810154
2r9w_513	6.4932117
2r9w_517	13.702265
2r9w_521	11.903564
2r9w_522	13.392564
2r9w_531	11.117172
2r9w_533	17.937202
2r9w_538	18.859007
2r9w_541	10.291698
2r9w_549	15.418945
2r9w_558	17.045437
2r9w_559	19.566656
2r9w_566	9.984788
2r9w_579	17.378122
2r9w_580	7.2331862
2r9w_586	19.705519
2r9w_592	13.051041
2r9w_593	18.895193
2r9w_618	10.250979
2r9w_640	10.680382
2r9w_651	13.858404
2r9w_670	11.401818
2r9w_671	15.641552
2r9w_679	17.246265
2r9w_691	18.993258
2r9w_708	9.206885
2r9w_710	8.152953
2r9w_713	9.063523
2r9w_717	5.6458683
2r9w_718	7.866893
2r9w_725	7.3542004
2r9w_734	5.314396
2r9w_740	7.0866833
2r9w_741	6.1286006
2r9w_744	7.653426
2r9w_749	6.2926927
2r9w_750	6.817362
2r9w_759	7.456493
2r9w_766	9.687805
2r9w_769	8.240118
2r9w_772	7.953651
2r9w_774	6.155949
2r9w_778	6.1629734
2r9w_779	10.4142275
2r9w_787	15.002263
2r9w_791	10.907455
2r9w_794	8.954209
2r9w_795	7.3185906
2r9w_817	10.063585
2r9w_828	7.2941117
2r9w_831	7.80624
2r9w_834	7.22608
2r9w_839	8.06591
2r9w_860	6.2016625
2r9w_868	6.3229494
2r9w_869	7.424239
2r9w_872	7.312509
2r9w_873	10.517081
2r9w_881	7.60488
2r9w_886	7.8483367
2r9w_910	8.770647
2r9w_911	8.246247
2r9w_927	8.116653
2r9w_928	9.384578
2r9w_949	6.013167
2r9w_950	8.403498
2r9w_ligand	4.5304294
