#code	score
2wn9_105	6.8200016
2wn9_118	11.449661
2wn9_11	6.9814973
2wn9_12	7.253671
2wn9_134	10.119437
2wn9_136	8.098071
2wn9_13	6.49957
2wn9_160	7.806094
2wn9_172	6.4575973
2wn9_175	7.1284432
2wn9_177	7.1737127
2wn9_194	9.569847
2wn9_217	5.6292996
2wn9_232	5.365546
2wn9_247	7.3082824
2wn9_257	7.391254
2wn9_261	10.116834
2wn9_275	5.3632097
2wn9_283	4.679153
2wn9_289	8.257431
2wn9_299	7.0653143
2wn9_2	6.1394725
2wn9_300	11.817202
2wn9_329	3.164682
2wn9_333	2.4968307
2wn9_336	4.6772127
2wn9_34	4.8064694
2wn9_376	5.0276384
2wn9_391	3.3619401
2wn9_410	20.99547
2wn9_411	11.18405
2wn9_424	9.981489
2wn9_445	12.551789
2wn9_448	7.460474
2wn9_461	13.209388
2wn9_471	13.639539
2wn9_474	10.732053
2wn9_483	11.024433
2wn9_51	5.0987372
2wn9_525	12.954633
2wn9_531	8.773169
2wn9_565	15.3826885
2wn9_570	12.9085245
2wn9_571	12.3582115
2wn9_575	10.082686
2wn9_586	11.8221
2wn9_626	11.210236
2wn9_643	13.466626
2wn9_662	13.320571
2wn9_663	11.005055
2wn9_667	12.540453
2wn9_675	19.512367
2wn9_678	11.595192
2wn9_689	23.850836
2wn9_737	5.091354
2wn9_738	6.250794
2wn9_740	4.5255065
2wn9_749	2.4025865
2wn9_751	6.9942303
2wn9_752	6.279978
2wn9_753	8.299983
2wn9_759	11.85349
2wn9_762	8.715038
2wn9_80	8.635227
2wn9_ligand	2.2418113
