#code	score
2yge_198	6.082889
2yge_22	1.8745017
2yge_252	11.745705
2yge_267	-0.61001307
2yge_269	8.521121
2yge_35	6.7161303
2yge_402	18.059906
2yge_408	51.638973
2yge_410	33.75998
2yge_425	26.024128
2yge_437	6.820512
2yge_439	14.103004
2yge_447	37.478085
2yge_467	72.900856
2yge_472	18.677694
2yge_476	73.61507
2yge_539	13.802649
2yge_543	34.199986
2yge_559	19.41439
2yge_565	13.659482
2yge_579	17.903467
2yge_580	35.60067
2yge_586	10.478065
2yge_627	24.275875
2yge_629	19.479685
2yge_646	17.980133
2yge_659	12.11256
2yge_664	15.230494
2yge_669	12.775139
2yge_679	11.989204
2yge_686	15.320198
2yge_687	17.622955
2yge_697	3.9551754
2yge_705	5.7223134
2yge_713	3.5562203
2yge_721	3.3407962
2yge_730	4.2845187
2yge_748	6.253156
2yge_74	0.48564333
2yge_753	7.013535
2yge_758	5.918663
2yge_760	4.970109
2yge_761	4.4833627
2yge_766	6.5092797
2yge_768	7.6415043
2yge_769	7.432767
2yge_770	11.15701
2yge_772	7.365409
2yge_773	10.528076
2yge_778	12.232606
2yge_781	10.746827
2yge_784	9.292225
2yge_786	8.427571
2yge_787	21.465004
2yge_792	15.272575
2yge_798	31.15992
2yge_842	6.639605
2yge_882	4.8861933
2yge_892	6.497922
2yge_966	6.320001
2yge_985	5.3355913
2yge_ligand	-3.5446894
