#code	score
3aru_10	6.167928
3aru_167	4.559093
3aru_169	6.3860507
3aru_174	4.9454784
3aru_202	9.031663
3aru_205	8.942051
3aru_222	5.6228175
3aru_235	12.6679125
3aru_239	14.701164
3aru_240	7.1320343
3aru_268	5.2257752
3aru_270	8.064719
3aru_272	3.744944
3aru_297	9.624188
3aru_306	2.9335153
3aru_311	4.290932
3aru_314	3.590359
3aru_320	7.9098763
3aru_336	7.404867
3aru_356	1.1388249
3aru_362	3.2533863
3aru_38	0.31327513
3aru_39	8.703083
3aru_40	6.500914
3aru_449	12.723113
3aru_450	7.5148273
3aru_478	11.106384
3aru_482	16.446058
3aru_483	11.185569
3aru_48	6.9169497
3aru_502	10.816311
3aru_512	9.933828
3aru_521	12.927287
3aru_530	13.236221
3aru_532	9.672561
3aru_533	9.324406
3aru_544	27.443983
3aru_546	12.785834
3aru_565	10.809157
3aru_566	11.138891
3aru_573	9.514752
3aru_577	17.622509
3aru_587	14.454096
3aru_589	6.9541626
3aru_58	3.691356
3aru_592	11.923983
3aru_594	12.450205
3aru_595	12.695548
3aru_604	11.943227
3aru_60	6.840777
3aru_618	11.421463
3aru_621	13.322243
3aru_62	7.8746758
3aru_64	3.470559
3aru_654	11.750244
3aru_686	20.646338
3aru_695	13.35684
3aru_698	20.17594
3aru_709	10.724773
3aru_715	5.8781323
3aru_716	6.883758
3aru_721	5.747762
3aru_725	7.4281244
3aru_728	5.1489663
3aru_745	7.505294
3aru_749	5.595535
3aru_776	6.020068
3aru_777	7.3053284
3aru_780	4.1451163
3aru_789	8.54955
3aru_790	9.110282
3aru_791	9.326908
3aru_817	5.7589035
3aru_852	6.352626
3aru_858	13.65536
3aru_88	5.2142572
3aru_902	9.366387
3aru_909	5.1911235
3aru_925	10.086026
3aru_930	9.407389
3aru_93	6.344576
3aru_949	6.415072
3aru_952	6.7809715
3aru_98	1.4998736
3aru_99	5.696937
3aru_ligand	4.0205283
