#code	score
3bgz_115	6.298708
3bgz_138	5.3692675
3bgz_166	4.2042537
3bgz_289	-4.3619843
3bgz_303	-4.305821
3bgz_37	-2.3146963
3bgz_401	19.493715
3bgz_415	10.668472
3bgz_418	20.18158
3bgz_422	9.715204
3bgz_424	13.832982
3bgz_434	17.473833
3bgz_437	9.012369
3bgz_440	15.322703
3bgz_446	3.785437
3bgz_451	5.833793
3bgz_452	6.3948603
3bgz_456	18.52256
3bgz_464	13.802855
3bgz_465	5.898315
3bgz_472	14.024038
3bgz_479	23.359467
3bgz_486	14.308487
3bgz_501	3.9272423
3bgz_505	11.564196
3bgz_51	-0.049279574
3bgz_533	9.2518215
3bgz_536	16.544178
3bgz_538	7.5920377
3bgz_540	13.44829
3bgz_549	7.0866876
3bgz_551	15.262656
3bgz_571	6.014586
3bgz_578	5.9122276
3bgz_580	4.3941555
3bgz_586	15.393133
3bgz_590	7.7411523
3bgz_593	14.505179
3bgz_596	7.8074594
3bgz_600	12.4107485
3bgz_601	14.604003
3bgz_606	20.307825
3bgz_611	15.680676
3bgz_621	15.552119
3bgz_626	13.647884
3bgz_628	10.812419
3bgz_637	14.372485
3bgz_643	13.539333
3bgz_653	7.84148
3bgz_687	19.172808
3bgz_689	25.423014
3bgz_694	14.012784
3bgz_697	10.821643
3bgz_740	5.758111
3bgz_766	6.5013356
3bgz_779	8.458406
3bgz_784	7.660352
3bgz_791	7.5965214
3bgz_795	16.725187
3bgz_796	11.273542
3bgz_81	-4.832704
3bgz_844	-1.8651999
3bgz_90	4.432136
3bgz_97	-6.1867824
3bgz_998	6.7925115
3bgz_ligand	-7.0593224
