#code	score
3ehy_106	6.327324
3ehy_140	7.887818
3ehy_141	3.3785954
3ehy_183	7.0167055
3ehy_229	0.05528271
3ehy_232	2.7634747
3ehy_309	5.004819
3ehy_349	4.3833046
3ehy_376	-0.16871977
3ehy_395	-0.4211005
3ehy_406	11.442017
3ehy_407	8.547674
3ehy_433	12.015516
3ehy_437	9.258898
3ehy_443	7.221588
3ehy_447	30.854748
3ehy_463	14.404386
3ehy_471	11.2850895
3ehy_476	13.760676
3ehy_477	19.194183
3ehy_481	14.39499
3ehy_482	27.399858
3ehy_485	24.329454
3ehy_486	23.72859
3ehy_492	9.081068
3ehy_493	10.5120945
3ehy_495	12.366055
3ehy_496	6.720779
3ehy_500	7.74241
3ehy_502	14.996605
3ehy_509	37.767414
3ehy_512	9.553432
3ehy_521	27.010746
3ehy_535	6.7502913
3ehy_537	24.04324
3ehy_543	4.8818555
3ehy_545	12.36452
3ehy_54	1.9734094
3ehy_551	23.167067
3ehy_564	46.419094
3ehy_570	28.530767
3ehy_576	19.567347
3ehy_592	23.877602
3ehy_615	9.011474
3ehy_619	15.044304
3ehy_622	15.594751
3ehy_623	32.32162
3ehy_632	22.85744
3ehy_637	12.670086
3ehy_642	17.055351
3ehy_646	9.268761
3ehy_667	11.58239
3ehy_668	12.222271
3ehy_671	20.809576
3ehy_674	13.736407
3ehy_678	8.432356
3ehy_685	12.93606
3ehy_693	17.582726
3ehy_698	10.162185
3ehy_706	3.4326375
3ehy_719	6.608371
3ehy_728	6.720016
3ehy_731	8.730235
3ehy_735	8.154748
3ehy_752	8.088906
3ehy_753	6.8028316
3ehy_758	8.9226885
3ehy_759	4.8539805
3ehy_764	7.679499
3ehy_768	6.8678393
3ehy_769	4.8702297
3ehy_777	6.612113
3ehy_779	7.10251
3ehy_785	5.534042
3ehy_789	6.9749374
3ehy_793	7.807237
3ehy_858	3.3760548
3ehy_919	9.087737
3ehy_977	4.454422
3ehy_985	8.946202
3ehy_ligand	-0.81602126
