#code	score
3g0w_185	-2.8656662
3g0w_195	-3.1412928
3g0w_196	-8.433268
3g0w_241	-9.326268
3g0w_27	-7.5796523
3g0w_281	-9.173016
3g0w_401	12.299646
3g0w_409	9.930535
3g0w_410	22.529362
3g0w_413	7.4620633
3g0w_417	45.708527
3g0w_441	16.85797
3g0w_458	26.248598
3g0w_475	14.470616
3g0w_488	35.46287
3g0w_493	24.161407
3g0w_494	20.074726
3g0w_499	33.13446
3g0w_516	23.29891
3g0w_523	20.90632
3g0w_545	37.459576
3g0w_552	22.507778
3g0w_562	17.782194
3g0w_573	18.382608
3g0w_574	28.714956
3g0w_609	24.229755
3g0w_613	14.640517
3g0w_639	21.650372
3g0w_658	15.814001
3g0w_690	22.770718
3g0w_696	23.787449
3g0w_697	28.267302
3g0w_703	12.145652
3g0w_753	25.56543
3g0w_754	20.74025
3g0w_755	21.77801
3g0w_756	32.383736
3g0w_757	26.026787
3g0w_758	27.415386
3g0w_759	29.03071
3g0w_761	31.144585
3g0w_764	28.221962
3g0w_765	30.37863
3g0w_766	28.258457
3g0w_767	28.162733
3g0w_768	28.310232
3g0w_769	32.177166
3g0w_771	30.780159
3g0w_772	28.350657
3g0w_773	26.22342
3g0w_774	31.955015
3g0w_775	32.83349
3g0w_778	35.06605
3g0w_779	30.32672
3g0w_780	64.93321
3g0w_782	38.856487
3g0w_783	32.560894
3g0w_786	74.77322
3g0w_787	70.38977
3g0w_788	54.006573
3g0w_789	50.270714
3g0w_790	44.083405
3g0w_791	-9.461044
3g0w_800	-2.8710191
3g0w_832	14.5612
3g0w_874	18.729952
3g0w_889	15.826403
3g0w_ligand	-9.28158
