#code	score
3lka_161	8.023664
3lka_24	4.6811867
3lka_258	6.855056
3lka_319	3.9035866
3lka_373	4.926118
3lka_404	7.0004015
3lka_431	6.3402944
3lka_435	7.321721
3lka_438	14.423645
3lka_439	7.604709
3lka_443	8.253204
3lka_444	6.6657753
3lka_456	14.965181
3lka_457	10.461122
3lka_459	13.9807625
3lka_468	8.255733
3lka_472	6.3592525
3lka_477	7.227314
3lka_485	7.301582
3lka_486	7.5993447
3lka_490	10.607343
3lka_491	7.7776685
3lka_495	14.148138
3lka_498	15.144021
3lka_501	13.979394
3lka_505	13.157576
3lka_510	11.42738
3lka_515	10.590695
3lka_518	9.788678
3lka_521	9.747198
3lka_536	15.627378
3lka_541	10.461122
3lka_544	6.8542743
3lka_554	11.717341
3lka_556	6.3402944
3lka_558	16.986383
3lka_559	12.24642
3lka_562	8.9052105
3lka_565	9.377841
3lka_568	27.272976
3lka_582	19.16915
3lka_588	8.538481
3lka_593	10.432561
3lka_613	23.99485
3lka_627	11.44252
3lka_644	16.838953
3lka_652	12.871539
3lka_653	10.469623
3lka_660	21.638336
3lka_665	7.5993447
3lka_668	10.461122
3lka_685	13.844868
3lka_735	11.140191
3lka_745	4.7307134
3lka_749	10.555063
3lka_752	9.955348
3lka_756	11.283312
3lka_760	10.44704
3lka_764	11.094725
3lka_771	9.184652
3lka_772	9.269999
3lka_774	7.6602464
3lka_775	8.891908
3lka_777	8.162104
3lka_780	9.154398
3lka_787	5.558654
3lka_791	11.511771
3lka_792	6.6603765
3lka_794	9.066676
3lka_868	10.952076
3lka_870	11.140191
3lka_871	9.165178
3lka_882	9.237634
3lka_884	9.025101
3lka_888	10.809965
3lka_889	8.950847
3lka_893	7.1156373
3lka_932	7.539991
3lka_94	5.138346
3lka_ligand	2.1897597
