#code	score
3twp_105	4.220781
3twp_108	4.0650907
3twp_121	7.2085743
3twp_126	5.7488923
3twp_147	5.0712657
3twp_14	6.4981475
3twp_152	5.626004
3twp_157	5.1756063
3twp_160	3.8232784
3twp_18	5.4161625
3twp_198	6.98278
3twp_226	7.219803
3twp_22	7.028568
3twp_321	4.092009
3twp_362	3.2859812
3twp_381	4.525103
3twp_413	6.7056546
3twp_419	8.249305
3twp_422	12.54452
3twp_440	7.5052404
3twp_445	10.770756
3twp_454	12.078961
3twp_467	8.173476
3twp_481	9.994877
3twp_487	9.421693
3twp_490	11.573712
3twp_497	4.9478498
3twp_501	6.2573495
3twp_510	5.768456
3twp_511	7.817425
3twp_532	7.0300617
3twp_533	7.1585884
3twp_536	10.738128
3twp_540	13.41343
3twp_547	6.531066
3twp_560	9.201561
3twp_567	7.833525
3twp_569	8.217997
3twp_574	7.281946
3twp_575	9.817909
3twp_576	9.651213
3twp_578	10.615777
3twp_57	7.00347
3twp_596	8.271468
3twp_599	7.8399925
3twp_600	8.800382
3twp_605	10.033006
3twp_608	10.533862
3twp_613	7.5349045
3twp_619	8.46445
3twp_627	6.4223886
3twp_633	8.504506
3twp_643	12.464686
3twp_645	6.9996486
3twp_646	7.8079076
3twp_665	10.019605
3twp_676	6.9448915
3twp_686	8.696269
3twp_692	8.435923
3twp_741	7.7011046
3twp_742	8.33416
3twp_745	8.815213
3twp_749	8.862575
3twp_754	8.114351
3twp_763	8.088158
3twp_769	9.216522
3twp_778	8.420974
3twp_779	8.202396
3twp_785	9.20233
3twp_827	8.127056
3twp_8	7.0708084
3twp_912	8.705539
3twp_92	5.894228
3twp_ligand	5.3417616
