#code	score
3u5j_124	8.879534
3u5j_143	-2.4001946
3u5j_147	-0.55589724
3u5j_174	6.708753
3u5j_195	4.632995
3u5j_203	5.593165
3u5j_20	7.024926
3u5j_213	4.206443
3u5j_233	3.5161316
3u5j_24	6.146518
3u5j_251	0.58998287
3u5j_257	6.2529817
3u5j_268	12.050509
3u5j_290	11.392561
3u5j_294	-0.9920593
3u5j_419	24.498266
3u5j_421	20.09581
3u5j_434	18.711823
3u5j_439	52.837593
3u5j_458	20.47849
3u5j_475	13.288848
3u5j_47	4.4509635
3u5j_481	16.154337
3u5j_482	33.13862
3u5j_491	24.295147
3u5j_493	34.245926
3u5j_497	20.699898
3u5j_498	24.469366
3u5j_505	2.6198902
3u5j_526	3.361798
3u5j_536	18.817308
3u5j_54	6.9621334
3u5j_557	12.441665
3u5j_561	11.493347
3u5j_563	21.426714
3u5j_566	18.331726
3u5j_574	17.30825
3u5j_576	13.060381
3u5j_578	25.703499
3u5j_580	33.714153
3u5j_584	13.767452
3u5j_589	18.46315
3u5j_591	17.525478
3u5j_593	14.141733
3u5j_603	19.81419
3u5j_620	13.9186535
3u5j_62	-1.4096487
3u5j_639	10.91352
3u5j_65	3.8360164
3u5j_690	20.002089
3u5j_710	8.943984
3u5j_723	8.406416
3u5j_728	7.055871
3u5j_731	7.7582407
3u5j_733	9.962777
3u5j_736	9.5441
3u5j_746	7.3136344
3u5j_756	7.116356
3u5j_757	10.843325
3u5j_759	10.133093
3u5j_764	9.31475
3u5j_773	7.5535007
3u5j_803	7.2391877
3u5j_830	6.815903
3u5j_845	7.608605
3u5j_858	8.827299
3u5j_894	7.1408763
3u5j_928	8.90202
3u5j_968	11.49407
3u5j_972	7.6921678
3u5j_974	7.006974
3u5j_ligand	-5.518981
