#code	score
3u9q_133	4.012003
3u9q_158	4.6726317
3u9q_22	-1.4518028
3u9q_234	1.1958252
3u9q_238	1.603715
3u9q_252	4.695913
3u9q_268	3.5533137
3u9q_273	3.7304597
3u9q_278	1.841592
3u9q_282	4.1130114
3u9q_286	3.7890987
3u9q_291	2.2884145
3u9q_355	-0.51259124
3u9q_363	4.967983
3u9q_386	5.079857
3u9q_407	7.741874
3u9q_416	8.994204
3u9q_421	10.087886
3u9q_426	10.780704
3u9q_451	11.882652
3u9q_458	10.641444
3u9q_476	12.943966
3u9q_477	9.512043
3u9q_480	4.6362925
3u9q_509	8.951455
3u9q_539	7.2736397
3u9q_53	6.096894
3u9q_540	9.016678
3u9q_546	11.633893
3u9q_559	11.37313
3u9q_562	4.543945
3u9q_576	8.77157
3u9q_602	9.405004
3u9q_606	13.196006
3u9q_619	12.971725
3u9q_621	8.479939
3u9q_623	7.9070582
3u9q_629	11.158009
3u9q_630	12.678664
3u9q_633	12.277705
3u9q_639	13.05072
3u9q_640	7.265467
3u9q_645	7.9464555
3u9q_656	13.405661
3u9q_658	8.4254
3u9q_663	10.078254
3u9q_669	7.719238
3u9q_680	10.798819
3u9q_682	7.6124144
3u9q_696	11.242199
3u9q_750	5.5823913
3u9q_753	9.332898
3u9q_756	8.12585
3u9q_760	5.834358
3u9q_773	5.3811297
3u9q_778	4.827023
3u9q_783	5.128649
3u9q_784	5.54416
3u9q_788	8.376649
3u9q_793	6.9041505
3u9q_794	6.9645452
3u9q_810	5.6367702
3u9q_860	4.12956
3u9q_867	6.3120246
3u9q_877	1.6700196
3u9q_883	6.000339
3u9q_890	10.184985
3u9q_91	0.64971447
3u9q_938	4.9222484
3u9q_971	7.066997
3u9q_ligand	-0.17658304
