#code	score
3uuo_14	7.1635633
3uuo_181	5.4868207
3uuo_187	4.057775
3uuo_212	0.6976632
3uuo_247	1.0186901
3uuo_249	15.50374
3uuo_267	8.068854
3uuo_269	8.435935
3uuo_274	5.9784636
3uuo_420	11.317683
3uuo_430	7.735205
3uuo_440	13.423121
3uuo_447	11.817782
3uuo_456	7.750235
3uuo_471	16.923536
3uuo_497	16.993208
3uuo_503	18.012587
3uuo_522	18.452232
3uuo_523	14.189428
3uuo_525	10.109349
3uuo_526	10.792021
3uuo_528	15.395946
3uuo_543	9.146632
3uuo_546	13.438987
3uuo_550	50.339516
3uuo_556	13.724359
3uuo_567	38.886414
3uuo_568	43.09619
3uuo_571	11.313133
3uuo_582	41.986553
3uuo_588	15.134467
3uuo_590	14.350587
3uuo_593	12.832015
3uuo_607	11.564917
3uuo_609	14.198361
3uuo_614	24.515947
3uuo_619	12.726444
3uuo_625	15.863193
3uuo_628	16.707397
3uuo_635	12.329454
3uuo_636	15.3057575
3uuo_645	12.334173
3uuo_668	10.358477
3uuo_669	24.660688
3uuo_674	18.978159
3uuo_677	15.823832
3uuo_695	64.63125
3uuo_709	5.308821
3uuo_711	3.2174358
3uuo_712	4.812402
3uuo_721	5.518236
3uuo_724	8.371234
3uuo_726	6.2289653
3uuo_734	7.185631
3uuo_739	9.307714
3uuo_744	8.711999
3uuo_752	6.4125533
3uuo_757	8.916781
3uuo_759	8.2044525
3uuo_772	11.171063
3uuo_777	12.571493
3uuo_781	9.017083
3uuo_783	12.37162
3uuo_799	8.6831
3uuo_7	3.0164864
3uuo_815	9.393587
3uuo_842	7.302411
3uuo_843	9.054899
3uuo_849	7.129494
3uuo_850	9.974657
3uuo_865	7.3112707
3uuo_871	4.613159
3uuo_881	7.788915
3uuo_888	9.3477
3uuo_889	10.391242
3uuo_890	10.257712
3uuo_892	11.405607
3uuo_943	2.2329457
3uuo_952	5.5785723
3uuo_968	5.688597
3uuo_981	8.363054
3uuo_982	9.7323065
3uuo_ligand	1.4228109
