#code	score
4cra_102	4.423892
4cra_113	6.327191
4cra_119	3.5931885
4cra_124	6.88014
4cra_126	5.548328
4cra_130	8.460782
4cra_151	8.116425
4cra_155	-1.1051967
4cra_175	-3.1944213
4cra_201	4.0722294
4cra_204	4.8724213
4cra_214	5.6319814
4cra_219	7.9956384
4cra_224	4.349313
4cra_230	4.2788615
4cra_240	7.7991476
4cra_24	6.813272
4cra_250	7.6152043
4cra_258	6.244989
4cra_270	2.6411664
4cra_276	7.5334163
4cra_281	2.9822001
4cra_283	3.5787659
4cra_292	-0.80546343
4cra_296	5.9248924
4cra_302	6.141717
4cra_307	6.824374
4cra_318	-3.1033108
4cra_354	3.5701199
4cra_358	5.79753
4cra_364	-5.200874
4cra_375	2.6065702
4cra_378	5.72234
4cra_383	6.9291434
4cra_413	59.7969
4cra_422	22.048384
4cra_439	75.2355
4cra_441	23.146872
4cra_444	43.909542
4cra_448	51.331554
4cra_456	89.81684
4cra_470	26.626642
4cra_472	26.083742
4cra_477	33.09365
4cra_479	26.16033
4cra_496	16.111517
4cra_4	-2.2019827
4cra_504	24.271973
4cra_523	8.401769
4cra_525	16.101353
4cra_533	17.565744
4cra_538	19.55424
4cra_540	9.364519
4cra_541	17.313364
4cra_547	30.037445
4cra_548	15.94998
4cra_549	21.821848
4cra_564	12.228388
4cra_566	22.577435
4cra_569	16.945026
4cra_572	19.566801
4cra_576	34.17719
4cra_578	12.428688
4cra_579	33.992634
4cra_580	25.904013
4cra_584	16.131964
4cra_589	23.000381
4cra_590	35.568855
4cra_591	13.816767
4cra_595	17.142319
4cra_596	26.896746
4cra_604	14.567895
4cra_610	15.116864
4cra_61	7.4422903
4cra_624	24.71187
4cra_636	23.777502
4cra_644	14.267103
4cra_656	30.415161
4cra_658	20.569628
4cra_680	61.47817
4cra_689	24.697577
4cra_695	21.477621
4cra_716	5.695927
4cra_719	3.452867
4cra_720	8.210444
4cra_748	8.643368
4cra_795	6.7300577
4cra_81	11.2444935
4cra_827	9.209387
4cra_828	9.35818
4cra_830	3.7470524
4cra_855	10.476802
4cra_861	9.660374
4cra_893	11.2841015
4cra_905	7.683574
4cra_918	7.2288375
4cra_941	11.662509
4cra_953	12.389674
4cra_967	10.184294
4cra_972	6.6774383
4cra_ligand	-5.6440635
