#code	score
4eor_121	-1.3147383
4eor_145	2.1971092
4eor_155	8.715178
4eor_257	1.6730527
4eor_267	3.1974745
4eor_309	6.4466147
4eor_31	5.199128
4eor_346	4.352134
4eor_361	1.2543815
4eor_403	29.71517
4eor_408	12.713844
4eor_414	14.087417
4eor_424	26.052183
4eor_425	19.253513
4eor_427	14.034576
4eor_430	13.909979
4eor_431	15.612121
4eor_446	26.50482
4eor_448	25.37163
4eor_450	20.23856
4eor_455	17.119928
4eor_465	19.627617
4eor_474	11.629213
4eor_479	15.5282135
4eor_480	12.703848
4eor_483	25.514517
4eor_485	17.469769
4eor_494	32.79398
4eor_501	8.146498
4eor_506	12.311688
4eor_511	19.135107
4eor_513	10.780983
4eor_519	28.2493
4eor_523	13.553192
4eor_524	11.904016
4eor_530	28.408575
4eor_536	15.043293
4eor_539	14.579212
4eor_541	18.638365
4eor_544	17.435984
4eor_548	16.56458
4eor_552	6.096055
4eor_557	15.239356
4eor_558	11.024856
4eor_559	20.385082
4eor_562	7.042152
4eor_565	14.878859
4eor_568	18.342606
4eor_577	15.053803
4eor_584	20.689243
4eor_585	9.960762
4eor_588	12.266488
4eor_592	13.449471
4eor_595	10.287836
4eor_604	24.743856
4eor_612	13.142409
4eor_620	14.803503
4eor_643	17.8987
4eor_649	16.006472
4eor_650	15.787783
4eor_652	19.103497
4eor_659	19.711737
4eor_666	12.168037
4eor_672	6.4089894
4eor_674	19.540524
4eor_677	15.965359
4eor_682	24.244898
4eor_687	16.991951
4eor_690	18.791046
4eor_697	24.293968
4eor_69	4.41802
4eor_701	-3.1048813
4eor_712	4.8459163
4eor_718	2.8501444
4eor_72	-3.8159413
4eor_736	2.438154
4eor_744	7.074982
4eor_745	1.2708551
4eor_746	6.458812
4eor_749	10.663531
4eor_757	5.449548
4eor_760	12.523461
4eor_763	7.3440723
4eor_764	8.600062
4eor_769	9.008257
4eor_773	55.454105
4eor_790	3.0486252
4eor_850	-3.7746782
4eor_860	-1.4316555
4eor_911	3.9290578
4eor_ligand	-6.415298
