#code	score
4f9w_10	-5.3314414
4f9w_113	-4.014054
4f9w_169	-0.88077366
4f9w_194	-5.256046
4f9w_25	-6.34706
4f9w_283	-4.276256
4f9w_366	2.163607
4f9w_36	-7.2695913
4f9w_396	4.9079113
4f9w_401	18.094095
4f9w_405	28.968716
4f9w_406	22.994217
4f9w_407	0.6729928
4f9w_408	12.395738
4f9w_419	9.550907
4f9w_421	11.608546
4f9w_435	7.297296
4f9w_442	36.368645
4f9w_445	24.030893
4f9w_452	21.966125
4f9w_456	22.081697
4f9w_463	20.649885
4f9w_466	17.110949
4f9w_469	31.519203
4f9w_476	15.319228
4f9w_479	14.644437
4f9w_480	17.4312
4f9w_485	14.579227
4f9w_487	33.08556
4f9w_489	13.055264
4f9w_505	18.840845
4f9w_518	7.4207063
4f9w_523	21.094793
4f9w_524	12.875459
4f9w_526	7.900819
4f9w_527	7.233383
4f9w_529	27.105165
4f9w_530	12.40208
4f9w_565	13.28314
4f9w_571	8.583427
4f9w_572	9.177053
4f9w_573	11.618874
4f9w_580	13.006637
4f9w_581	12.818219
4f9w_583	20.39467
4f9w_588	16.343966
4f9w_592	9.041464
4f9w_599	20.999666
4f9w_609	12.485544
4f9w_621	13.496242
4f9w_630	27.637287
4f9w_637	16.07376
4f9w_653	16.113754
4f9w_661	18.554207
4f9w_664	34.236607
4f9w_671	21.420645
4f9w_673	15.127322
4f9w_674	12.414503
4f9w_684	17.846771
4f9w_685	18.264393
4f9w_687	15.197982
4f9w_695	23.02891
4f9w_732	4.779552
4f9w_737	6.753373
4f9w_782	10.766603
4f9w_783	7.745998
4f9w_784	6.362029
4f9w_787	7.8299327
4f9w_788	5.417888
4f9w_798	12.972198
4f9w_86	-5.979211
4f9w_899	7.04405
4f9w_92	4.5014315
4f9w_96	-5.4596395
4f9w_996	3.8513968
4f9w_ligand	-7.08341
