#code	score
4ih5_140	9.075716
4ih5_148	5.5320573
4ih5_159	6.5863767
4ih5_161	9.090302
4ih5_168	10.917297
4ih5_169	10.233353
4ih5_192	8.998252
4ih5_202	9.100826
4ih5_219	4.0378804
4ih5_227	5.88625
4ih5_281	7.4299846
4ih5_302	5.304931
4ih5_306	4.903443
4ih5_327	6.6538315
4ih5_341	7.9019785
4ih5_367	3.4421873
4ih5_374	5.7126985
4ih5_381	7.6322536
4ih5_384	5.891284
4ih5_390	6.52881
4ih5_397	4.4550686
4ih5_400	7.733278
4ih5_417	8.72043
4ih5_421	15.958706
4ih5_427	14.719787
4ih5_428	10.156966
4ih5_432	14.591629
4ih5_433	17.170685
4ih5_448	7.4530077
4ih5_451	25.84055
4ih5_454	24.652925
4ih5_459	25.411646
4ih5_463	10.574754
4ih5_465	13.945515
4ih5_467	9.315747
4ih5_482	10.795761
4ih5_492	15.8723755
4ih5_502	10.109632
4ih5_508	15.9864235
4ih5_516	19.77046
4ih5_543	11.347724
4ih5_546	16.924532
4ih5_560	16.761126
4ih5_562	10.546779
4ih5_566	11.134576
4ih5_57	5.2369914
4ih5_581	10.584618
4ih5_587	9.18642
4ih5_5	5.7812114
4ih5_612	11.898035
4ih5_638	16.634043
4ih5_651	15.984978
4ih5_674	21.144098
4ih5_681	11.807872
4ih5_689	10.914999
4ih5_690	22.001703
4ih5_708	4.4485464
4ih5_715	5.3442097
4ih5_720	10.00744
4ih5_729	8.823565
4ih5_762	9.306088
4ih5_764	8.573954
4ih5_765	8.953215
4ih5_779	8.059544
4ih5_782	8.387347
4ih5_789	8.93717
4ih5_793	7.5105667
4ih5_794	6.7216797
4ih5_867	9.03709
4ih5_892	10.508762
4ih5_966	7.102475
4ih5_983	8.121595
4ih5_ligand	3.6135812
