#code	score
4m0y_214	4.17635
4m0y_224	4.2397447
4m0y_232	1.4036603
4m0y_252	4.736974
4m0y_336	-4.6324744
4m0y_407	16.35532
4m0y_410	15.804691
4m0y_416	8.816209
4m0y_426	15.295167
4m0y_448	11.996138
4m0y_461	22.186333
4m0y_467	17.903217
4m0y_476	14.8660145
4m0y_485	10.2617445
4m0y_488	10.26683
4m0y_493	18.172281
4m0y_509	19.751104
4m0y_512	15.763842
4m0y_513	7.5063195
4m0y_514	14.55801
4m0y_524	15.190531
4m0y_525	20.55391
4m0y_532	11.946542
4m0y_534	19.733946
4m0y_537	13.335159
4m0y_544	11.241035
4m0y_545	12.467068
4m0y_546	10.337849
4m0y_547	17.999947
4m0y_549	9.287052
4m0y_558	11.383874
4m0y_561	9.837828
4m0y_567	18.337355
4m0y_570	11.800075
4m0y_574	5.788747
4m0y_586	11.549686
4m0y_589	12.758105
4m0y_591	12.061813
4m0y_592	11.710212
4m0y_598	10.671656
4m0y_601	10.117952
4m0y_610	8.982844
4m0y_619	11.856443
4m0y_631	12.426955
4m0y_646	12.693753
4m0y_655	7.2237587
4m0y_659	15.415603
4m0y_662	21.799448
4m0y_669	22.658342
4m0y_682	21.783457
4m0y_684	29.848185
4m0y_686	10.908703
4m0y_697	14.779159
4m0y_739	5.1873984
4m0y_740	0.74153477
4m0y_743	12.412183
4m0y_748	7.3496394
4m0y_750	7.6865892
4m0y_752	7.822396
4m0y_753	5.7536764
4m0y_756	4.404949
4m0y_757	6.691356
4m0y_758	5.0055137
4m0y_759	5.883493
4m0y_767	8.601945
4m0y_814	0.5866685
4m0y_822	4.868154
4m0y_827	5.013492
4m0y_839	5.2454395
4m0y_846	4.0140767
4m0y_856	4.9628453
4m0y_863	5.6121573
4m0y_873	4.635098
4m0y_883	5.782726
4m0y_907	4.579605
4m0y_920	6.0802045
4m0y_922	7.5797977
4m0y_923	7.3803897
4m0y_951	8.050781
4m0y_952	7.0413203
4m0y_ligand	-3.4496765
