#code	score
1bzc_101	4.2353215
1bzc_111	3.7876549
1bzc_142	-0.9176012
1bzc_190	-0.80911547
1bzc_217	-0.11669689
1bzc_223	2.4144902
1bzc_225	6.208237
1bzc_260	4.0411944
1bzc_265	4.949318
1bzc_300	3.19178
1bzc_323	-1.9150717
1bzc_375	-2.038084
1bzc_409	69.60152
1bzc_412	42.695717
1bzc_414	16.661564
1bzc_427	50.640255
1bzc_439	38.482796
1bzc_43	-0.7230121
1bzc_440	18.19853
1bzc_443	27.626806
1bzc_449	22.720951
1bzc_461	18.243345
1bzc_463	118.977005
1bzc_464	22.294588
1bzc_466	18.403067
1bzc_469	8.851315
1bzc_473	28.891024
1bzc_481	37.027897
1bzc_487	20.953268
1bzc_502	7.0645604
1bzc_504	12.328416
1bzc_522	21.015453
1bzc_524	12.417464
1bzc_526	14.908066
1bzc_527	11.349827
1bzc_530	11.099681
1bzc_539	21.653343
1bzc_546	27.76926
1bzc_549	6.6662292
1bzc_556	16.125357
1bzc_558	29.521166
1bzc_566	16.71398
1bzc_577	25.957548
1bzc_579	25.036356
1bzc_588	27.27451
1bzc_592	13.441946
1bzc_593	5.8730607
1bzc_597	17.668432
1bzc_608	15.408804
1bzc_611	26.755243
1bzc_614	11.765727
1bzc_615	31.227846
1bzc_620	20.102705
1bzc_622	15.972019
1bzc_625	20.324532
1bzc_629	11.808423
1bzc_633	24.108904
1bzc_644	41.142788
1bzc_651	16.37153
1bzc_652	37.184845
1bzc_659	13.855096
1bzc_660	20.185938
1bzc_664	20.425047
1bzc_666	17.599562
1bzc_669	33.87502
1bzc_670	10.736315
1bzc_671	17.377106
1bzc_674	24.863363
1bzc_677	12.806019
1bzc_681	26.950132
1bzc_682	25.737135
1bzc_686	45.1332
1bzc_688	21.389809
1bzc_690	15.453878
1bzc_694	20.361246
1bzc_700	36.522568
1bzc_709	-1.3756741
1bzc_778	5.7744384
1bzc_963	2.9616845
