#code	score
1c5z_247	4.865856
1c5z_258	9.19124
1c5z_3	3.3253052
1c5z_402	4.5770574
1c5z_415	13.705557
1c5z_425	11.792615
1c5z_427	12.019093
1c5z_431	10.915779
1c5z_438	6.636433
1c5z_449	12.744541
1c5z_452	4.344904
1c5z_460	13.655979
1c5z_465	14.89388
1c5z_482	11.12295
1c5z_509	9.347628
1c5z_516	11.67143
1c5z_519	8.629269
1c5z_520	7.5623527
1c5z_530	9.518954
1c5z_536	7.088512
1c5z_537	7.125055
1c5z_542	8.696273
1c5z_544	13.478497
1c5z_546	8.906588
1c5z_556	11.107687
1c5z_558	6.8840137
1c5z_563	16.978472
1c5z_564	8.3304205
1c5z_577	13.348282
1c5z_583	17.003675
1c5z_586	9.415117
1c5z_590	14.346657
1c5z_593	8.979706
1c5z_596	7.7520847
1c5z_607	12.216806
1c5z_613	15.520084
1c5z_627	11.703384
1c5z_642	10.203855
1c5z_661	10.218774
1c5z_665	12.851633
1c5z_698	8.718208
1c5z_700	10.429127
1c5z_711	7.9607263
1c5z_715	8.513897
1c5z_722	9.844893
1c5z_733	9.174692
1c5z_734	5.8247466
1c5z_738	11.476017
1c5z_739	9.665558
1c5z_741	8.349767
1c5z_743	9.985591
1c5z_753	7.9405003
1c5z_754	7.56204
1c5z_759	9.161103
1c5z_761	8.337323
1c5z_763	8.655033
1c5z_765	9.282944
1c5z_766	9.49855
1c5z_776	8.118887
1c5z_781	6.7484145
1c5z_790	8.951618
1c5z_804	11.471352
1c5z_805	8.680215
1c5z_811	11.573572
1c5z_826	10.855253
1c5z_828	10.851598
1c5z_829	8.472544
1c5z_836	9.35825
1c5z_839	4.788446
1c5z_840	8.891326
1c5z_844	7.257873
1c5z_862	9.265202
1c5z_892	7.576506
1c5z_898	8.670786
1c5z_8	-0.46627757
1c5z_931	6.6766973
1c5z_937	7.8923087
1c5z_953	7.6266294
1c5z_955	9.43202
1c5z_959	9.302411
