#code	score
1g2k_209	2.9893932
1g2k_225	-7.782289
1g2k_242	-7.7487073
1g2k_247	-8.197604
1g2k_248	11.308995
1g2k_265	-3.6128988
1g2k_271	-5.4907413
1g2k_283	5.2170568
1g2k_290	-2.8451414
1g2k_294	-7.8039007
1g2k_295	2.2791197
1g2k_306	8.979261
1g2k_328	-7.191524
1g2k_403	56.81014
1g2k_404	89.91934
1g2k_408	47.966946
1g2k_417	65.55048
1g2k_420	106.84619
1g2k_436	80.65687
1g2k_454	129.3846
1g2k_456	112.97869
1g2k_458	218.23126
1g2k_460	129.8858
1g2k_462	162.7607
1g2k_466	100.2208
1g2k_467	204.41628
1g2k_468	195.4409
1g2k_469	62.704224
1g2k_473	36.606842
1g2k_475	169.83429
1g2k_482	38.142273
1g2k_487	126.99522
1g2k_497	231.8127
1g2k_502	75.4982
1g2k_504	15.564727
1g2k_516	21.043573
1g2k_520	88.623604
1g2k_521	15.332191
1g2k_52	-7.653914
1g2k_530	71.86282
1g2k_543	62.2316
1g2k_546	26.115608
1g2k_551	54.36472
1g2k_556	59.011925
1g2k_565	62.986645
1g2k_566	79.230896
1g2k_568	67.1829
1g2k_569	31.945887
1g2k_573	94.82144
1g2k_582	17.288597
1g2k_584	67.79175
1g2k_588	24.517702
1g2k_589	31.20755
1g2k_590	120.93581
1g2k_591	83.891106
1g2k_592	26.791101
1g2k_597	60.60198
1g2k_598	85.745056
1g2k_600	29.978006
1g2k_606	22.048996
1g2k_607	82.70233
1g2k_610	45.85953
1g2k_617	28.166115
1g2k_621	23.568367
1g2k_624	48.26708
1g2k_625	41.509804
1g2k_639	52.943775
1g2k_640	24.992796
1g2k_644	71.04014
1g2k_645	19.92743
1g2k_646	54.64637
1g2k_649	46.435917
1g2k_650	34.709652
1g2k_652	68.038864
1g2k_654	13.746061
1g2k_663	31.322233
1g2k_668	25.694923
1g2k_670	33.272144
1g2k_673	15.832042
1g2k_675	49.89956
1g2k_677	130.22676
1g2k_679	19.690094
1g2k_683	57.005745
1g2k_684	88.04646
1g2k_690	16.578468
1g2k_705	8.809035
1g2k_736	11.408203
1g2k_737	7.5839086
1g2k_74	-10.449634
1g2k_762	12.422514
1g2k_771	5.019247
1g2k_874	7.0934987
1g2k_900	1.8162894
1g2k_98	9.601365
