#code	score
1nc1_103	5.1024203
1nc1_121	4.720044
1nc1_126	7.163243
1nc1_133	5.0986924
1nc1_13	2.727062
1nc1_142	5.2889996
1nc1_144	10.537075
1nc1_152	5.784295
1nc1_161	5.07158
1nc1_172	5.181105
1nc1_18	4.98351
1nc1_207	1.6377804
1nc1_275	5.1379995
1nc1_410	24.644873
1nc1_422	28.295017
1nc1_427	10.408952
1nc1_431	14.491419
1nc1_437	21.828121
1nc1_441	23.345526
1nc1_443	21.260733
1nc1_449	35.01835
1nc1_473	24.282896
1nc1_480	28.721554
1nc1_495	19.06129
1nc1_498	29.203873
1nc1_513	17.356943
1nc1_526	19.139303
1nc1_527	10.7845125
1nc1_529	29.008768
1nc1_536	18.5021
1nc1_538	23.448893
1nc1_539	17.209452
1nc1_546	14.172867
1nc1_550	10.420651
1nc1_551	25.875404
1nc1_552	18.48647
1nc1_558	19.479263
1nc1_566	32.895767
1nc1_570	43.44506
1nc1_573	15.629601
1nc1_575	15.115202
1nc1_576	29.244436
1nc1_585	21.215155
1nc1_587	22.20862
1nc1_591	11.744051
1nc1_596	38.631565
1nc1_597	26.660692
1nc1_598	17.067839
1nc1_612	28.24648
1nc1_615	19.869652
1nc1_624	12.405584
1nc1_62	11.879432
1nc1_634	29.907972
1nc1_643	12.834482
1nc1_648	18.178621
1nc1_659	18.771587
1nc1_661	13.793573
1nc1_663	21.692062
1nc1_664	30.872036
1nc1_665	15.496248
1nc1_667	19.204947
1nc1_670	28.29132
1nc1_685	11.488989
1nc1_690	21.675829
1nc1_692	17.104483
1nc1_695	24.723623
1nc1_696	30.506495
1nc1_6	5.1243396
1nc1_724	2.2058442
1nc1_739	-3.3901622
1nc1_75	6.7930665
1nc1_763	2.4415677
1nc1_853	0.4674315
1nc1_865	0.42513257
