#code	score
2cet_108	3.294819
2cet_123	-4.7332945
2cet_125	-3.2897658
2cet_188	3.5456114
2cet_313	1.6057715
2cet_326	-3.3333862
2cet_359	-2.903004
2cet_378	5.8086934
2cet_406	13.42804
2cet_418	7.7248187
2cet_419	7.5748487
2cet_421	10.652086
2cet_430	7.519384
2cet_435	15.404588
2cet_436	6.689138
2cet_452	8.410981
2cet_457	12.5683155
2cet_458	15.786158
2cet_466	7.1126018
2cet_469	5.765398
2cet_474	9.859934
2cet_478	7.658176
2cet_481	7.180216
2cet_518	14.026448
2cet_522	10.293577
2cet_524	15.986364
2cet_528	8.1832285
2cet_529	14.324056
2cet_533	7.781257
2cet_540	12.814791
2cet_548	8.5708
2cet_550	10.164388
2cet_552	12.371427
2cet_554	9.9181385
2cet_556	7.673483
2cet_560	16.867748
2cet_561	14.573909
2cet_564	5.5368667
2cet_566	12.484476
2cet_567	8.818799
2cet_568	12.656604
2cet_569	14.0141945
2cet_570	12.999029
2cet_578	6.0014715
2cet_580	15.808818
2cet_581	7.7211266
2cet_585	9.876683
2cet_588	16.044153
2cet_589	7.897803
2cet_591	8.81724
2cet_592	15.367139
2cet_593	17.665827
2cet_594	8.413073
2cet_595	6.0002017
2cet_599	13.919505
2cet_643	21.015207
2cet_656	18.839714
2cet_662	15.054195
2cet_665	17.143377
2cet_668	7.0052776
2cet_669	9.610447
2cet_672	4.971755
2cet_673	24.315828
2cet_676	14.443983
2cet_679	12.807067
2cet_682	12.813352
2cet_689	17.47871
2cet_699	11.182193
2cet_722	5.9134617
2cet_725	5.637209
2cet_734	4.681262
2cet_741	4.9736614
2cet_742	6.3972583
2cet_745	7.1330314
2cet_756	5.4375243
2cet_761	5.930829
2cet_765	7.7910557
2cet_768	9.411036
2cet_776	6.581521
2cet_777	9.787327
2cet_855	6.1394877
2cet_857	5.6598268
2cet_875	6.279009
