#code	score
2iwx_101	1.4059341
2iwx_103	4.39863
2iwx_315	4.3506184
2iwx_351	-2.9226396
2iwx_366	3.6292903
2iwx_368	3.8790743
2iwx_394	0.2772704
2iwx_404	24.093252
2iwx_406	20.65592
2iwx_407	8.445723
2iwx_409	21.610811
2iwx_412	31.453712
2iwx_432	18.262999
2iwx_433	23.317404
2iwx_438	47.39969
2iwx_440	7.715107
2iwx_446	21.567966
2iwx_456	38.677483
2iwx_463	15.809107
2iwx_464	10.838018
2iwx_469	36.733536
2iwx_470	18.152046
2iwx_472	9.041605
2iwx_480	16.403332
2iwx_484	54.88248
2iwx_487	43.304134
2iwx_492	40.316334
2iwx_498	33.81605
2iwx_507	21.727293
2iwx_508	9.374835
2iwx_519	11.672333
2iwx_529	12.0678
2iwx_534	-1.1784849
2iwx_547	14.305592
2iwx_567	11.843086
2iwx_570	26.085611
2iwx_572	15.087843
2iwx_575	30.582354
2iwx_578	16.534548
2iwx_583	17.397194
2iwx_590	20.473635
2iwx_596	6.667429
2iwx_598	19.419012
2iwx_623	34.12145
2iwx_631	14.705994
2iwx_633	7.1651125
2iwx_645	35.372105
2iwx_647	13.899563
2iwx_657	15.213728
2iwx_659	14.784616
2iwx_663	11.491269
2iwx_664	12.718205
2iwx_667	13.290063
2iwx_671	11.643085
2iwx_672	13.777973
2iwx_685	16.161053
2iwx_728	7.1918073
2iwx_731	7.9838185
2iwx_735	10.00692
2iwx_745	8.25932
2iwx_752	8.342216
2iwx_756	9.111983
2iwx_757	8.749871
2iwx_758	11.246832
2iwx_759	7.721964
2iwx_760	7.852086
2iwx_762	9.051647
2iwx_763	8.44388
2iwx_766	9.322559
2iwx_776	12.916972
2iwx_780	11.810909
2iwx_801	1.3473308
2iwx_843	8.157677
2iwx_847	8.317146
2iwx_866	7.4348445
2iwx_874	9.7045555
2iwx_881	8.946992
2iwx_970	7.3234572
