#code	score
2j78_101	8.826093
2j78_115	4.872765
2j78_140	5.2286315
2j78_176	5.3860264
2j78_22	5.790749
2j78_311	4.244967
2j78_317	5.3090463
2j78_31	3.9652581
2j78_320	5.3014364
2j78_326	2.0499403
2j78_332	6.3724756
2j78_349	6.2062793
2j78_369	7.670436
2j78_382	5.324511
2j78_383	5.861361
2j78_397	5.166112
2j78_406	8.978056
2j78_458	6.3707223
2j78_459	8.551669
2j78_460	12.383084
2j78_471	7.0972533
2j78_486	11.7355
2j78_507	9.923584
2j78_52	5.6934986
2j78_546	13.018791
2j78_575	7.785372
2j78_597	7.917112
2j78_621	6.70092
2j78_626	15.632961
2j78_650	7.7156415
2j78_657	10.359276
2j78_684	6.953276
2j78_716	7.655126
2j78_719	8.582414
2j78_744	4.340299
2j78_751	8.432712
2j78_754	6.2307167
2j78_755	7.4751387
2j78_777	5.292084
2j78_779	9.043363
2j78_787	8.1210575
2j78_795	10.544607
2j78_796	9.079652
2j78_808	4.8977685
2j78_812	5.568809
2j78_827	5.7047815
2j78_835	8.649239
2j78_857	7.687145
2j78_862	4.018986
2j78_881	7.256644
2j78_882	6.476108
2j78_938	10.20838
2j78_941	6.1544333
2j78_97	3.1334598
