#code	score
2qnq_130	18.429354
2qnq_167	7.114655
2qnq_207	-3.0487478
2qnq_209	-0.8156064
2qnq_210	14.427143
2qnq_215	3.073346
2qnq_216	14.09552
2qnq_230	-2.1557808
2qnq_231	12.771004
2qnq_239	13.579974
2qnq_243	7.8440676
2qnq_245	10.101761
2qnq_249	22.272312
2qnq_250	-5.963461
2qnq_267	3.4652784
2qnq_269	7.5350637
2qnq_272	14.480391
2qnq_274	2.4996183
2qnq_277	8.920531
2qnq_280	6.20835
2qnq_287	5.0234337
2qnq_290	12.787249
2qnq_293	10.708795
2qnq_308	9.863933
2qnq_314	6.1301084
2qnq_326	5.478028
2qnq_349	6.9119515
2qnq_34	4.781238
2qnq_367	7.307506
2qnq_368	-1.4282826
2qnq_394	16.80527
2qnq_397	-0.6497896
2qnq_413	58.449867
2qnq_414	113.34622
2qnq_429	50.23139
2qnq_431	76.57199
2qnq_433	36.378265
2qnq_43	-3.067437
2qnq_445	48.972805
2qnq_459	28.680616
2qnq_462	25.152838
2qnq_463	29.224823
2qnq_464	80.99659
2qnq_475	120.914566
2qnq_478	25.41496
2qnq_480	52.958
2qnq_484	54.097935
2qnq_487	27.527657
2qnq_496	69.7417
2qnq_512	39.81636
2qnq_520	30.331974
2qnq_521	33.049866
2qnq_538	32.770382
2qnq_542	34.95069
2qnq_545	35.041294
2qnq_552	23.798088
2qnq_554	28.976954
2qnq_560	34.64633
2qnq_563	45.897892
2qnq_575	79.392235
2qnq_578	31.633713
2qnq_590	21.306862
2qnq_641	36.158016
2qnq_645	35.134033
2qnq_648	18.625122
2qnq_64	7.625051
2qnq_651	39.286915
2qnq_652	64.159256
2qnq_654	16.381699
2qnq_656	17.587507
2qnq_666	21.554487
2qnq_667	38.862682
2qnq_668	59.21546
2qnq_670	21.896048
2qnq_671	49.436817
2qnq_676	33.908276
2qnq_679	72.2395
2qnq_702	4.528904
2qnq_715	5.7016263
2qnq_758	0.37298396
2qnq_788	6.5601525
2qnq_811	6.813328
