#code	score
2vw5_115	5.517941
2vw5_154	-0.7587058
2vw5_160	1.3127707
2vw5_227	2.9475107
2vw5_22	-2.3339305
2vw5_249	-0.49609682
2vw5_381	3.07493
2vw5_403	43.235344
2vw5_407	16.846277
2vw5_408	54.447216
2vw5_410	36.633385
2vw5_411	30.435501
2vw5_415	19.259834
2vw5_418	11.763513
2vw5_420	45.44103
2vw5_425	17.916382
2vw5_434	33.44618
2vw5_441	29.633928
2vw5_442	42.228897
2vw5_443	65.252235
2vw5_467	68.03916
2vw5_471	46.121384
2vw5_475	43.51622
2vw5_477	47.21761
2vw5_488	37.688892
2vw5_493	68.921234
2vw5_516	16.42022
2vw5_519	14.75238
2vw5_536	14.7145815
2vw5_537	13.8426
2vw5_541	25.472244
2vw5_546	20.472221
2vw5_552	41.884796
2vw5_557	11.579136
2vw5_576	13.794148
2vw5_585	30.765892
2vw5_618	16.220129
2vw5_642	15.72583
2vw5_645	29.176918
2vw5_652	21.801212
2vw5_659	20.86627
2vw5_661	21.773474
2vw5_665	11.915012
2vw5_667	17.504229
2vw5_670	19.186611
2vw5_678	17.850943
2vw5_687	52.672867
2vw5_688	49.70821
2vw5_692	39.678005
2vw5_693	33.696186
2vw5_695	33.98989
2vw5_696	26.238153
2vw5_698	25.04976
2vw5_736	0.8206972
2vw5_740	-0.32340288
2vw5_751	2.1217854
2vw5_762	8.975528
2vw5_789	11.170258
2vw5_791	13.9141655
2vw5_900	2.5088747
