#code	score
2wnc_127	2.3130639
2wnc_168	44.485577
2wnc_267	4.3820934
2wnc_302	-0.8889999
2wnc_35	4.5562334
2wnc_370	1.9309083
2wnc_437	15.233627
2wnc_458	8.487913
2wnc_473	19.508318
2wnc_474	9.330322
2wnc_48	4.571081
2wnc_498	8.186323
2wnc_514	15.107481
2wnc_519	12.137325
2wnc_525	16.871838
2wnc_527	13.422255
2wnc_532	12.402375
2wnc_536	13.146413
2wnc_537	16.44655
2wnc_538	10.716025
2wnc_539	13.972812
2wnc_541	11.413715
2wnc_542	13.620255
2wnc_554	16.186802
2wnc_557	18.751167
2wnc_558	14.737372
2wnc_561	16.040075
2wnc_564	8.430442
2wnc_575	16.797258
2wnc_578	13.8095875
2wnc_582	16.673622
2wnc_585	13.524102
2wnc_587	21.000753
2wnc_589	15.328914
2wnc_594	24.284092
2wnc_595	13.1356
2wnc_597	7.5938272
2wnc_599	16.005808
2wnc_600	13.116147
2wnc_632	11.733291
2wnc_636	13.073066
2wnc_645	20.326887
2wnc_647	15.877664
2wnc_661	11.507788
2wnc_664	15.6985235
2wnc_681	12.062611
2wnc_689	16.410322
2wnc_702	-2.6895876
2wnc_717	4.211587
2wnc_722	6.278917
2wnc_723	6.1298857
2wnc_728	6.7878013
2wnc_732	8.808576
2wnc_734	7.843595
2wnc_737	4.266899
2wnc_741	8.60344
2wnc_744	5.8749146
2wnc_747	4.5676446
2wnc_752	8.987844
2wnc_754	10.608953
2wnc_755	1.883653
2wnc_757	12.419547
2wnc_760	12.55211
2wnc_763	12.112519
2wnc_766	11.070717
2wnc_770	8.466991
2wnc_776	12.270426
2wnc_779	11.878698
2wnc_780	11.698509
2wnc_781	17.623316
2wnc_796	-1.3062141
2wnc_825	4.2215967
2wnc_828	8.047255
2wnc_848	6.6085086
2wnc_849	7.056434
2wnc_853	9.025784
2wnc_856	8.442845
2wnc_860	6.2807317
2wnc_862	6.6209598
2wnc_868	10.748772
2wnc_872	10.509246
2wnc_874	8.060186
2wnc_879	9.130844
2wnc_891	-3.6568346
2wnc_903	-1.5338972
2wnc_915	4.625914
2wnc_928	3.852668
2wnc_951	3.3594558
2wnc_952	6.2464485
2wnc_969	4.087758
2wnc_972	3.700906
2wnc_981	2.6468067
2wnc_99	3.7530694
