#code	score
2xdl_176	6.7108703
2xdl_192	6.447261
2xdl_215	6.688639
2xdl_265	4.8867373
2xdl_268	3.875943
2xdl_273	5.5040336
2xdl_329	3.834456
2xdl_339	4.993643
2xdl_348	3.8742256
2xdl_396	2.5914354
2xdl_3	8.132372
2xdl_414	11.293083
2xdl_417	13.344935
2xdl_420	14.374889
2xdl_435	16.780737
2xdl_446	11.998665
2xdl_484	13.286442
2xdl_486	11.924773
2xdl_489	10.509935
2xdl_495	7.287973
2xdl_496	9.581763
2xdl_500	8.78383
2xdl_509	13.067396
2xdl_522	10.237806
2xdl_525	12.064743
2xdl_534	13.882544
2xdl_537	21.50418
2xdl_539	11.587176
2xdl_540	12.026027
2xdl_547	6.78832
2xdl_549	6.393825
2xdl_559	13.225962
2xdl_55	4.823291
2xdl_560	10.296467
2xdl_565	8.094383
2xdl_570	11.821417
2xdl_574	12.708601
2xdl_586	10.559477
2xdl_593	9.5494375
2xdl_595	12.863718
2xdl_596	13.73135
2xdl_5	4.338312
2xdl_611	10.606171
2xdl_612	11.06481
2xdl_615	10.028329
2xdl_623	11.276219
2xdl_628	10.674713
2xdl_646	11.9792595
2xdl_650	14.498405
2xdl_660	13.469532
2xdl_674	10.257407
2xdl_685	13.416558
2xdl_691	11.300459
2xdl_692	17.195393
2xdl_693	9.141968
2xdl_739	6.589192
2xdl_742	10.052062
2xdl_746	9.255977
2xdl_747	9.886432
2xdl_755	7.333372
2xdl_763	7.6146774
2xdl_768	7.075031
2xdl_769	6.406183
2xdl_775	7.94826
2xdl_776	5.1949534
2xdl_778	8.748572
2xdl_779	7.9838862
2xdl_783	11.0549755
2xdl_788	7.4405203
2xdl_790	8.710995
2xdl_99	4.512433
