#code	score
2zcr_187	-2.0484324
2zcr_216	-2.7327135
2zcr_273	1.4915816
2zcr_283	5.1511283
2zcr_28	2.7863426
2zcr_294	-1.0310493
2zcr_296	-2.2969694
2zcr_318	-3.1259062
2zcr_324	-3.71623
2zcr_33	2.1895893
2zcr_351	-3.8626456
2zcr_358	-3.9284756
2zcr_37	-0.55284756
2zcr_383	-3.760459
2zcr_398	1.1897783
2zcr_407	10.615482
2zcr_409	4.1771894
2zcr_418	18.003689
2zcr_422	21.599201
2zcr_423	12.532221
2zcr_424	16.32988
2zcr_429	8.437187
2zcr_437	11.196904
2zcr_438	12.977745
2zcr_440	12.469954
2zcr_444	15.008073
2zcr_447	15.900571
2zcr_452	10.984985
2zcr_453	26.77595
2zcr_460	13.309893
2zcr_464	16.062956
2zcr_465	7.5696974
2zcr_466	10.662802
2zcr_468	14.217846
2zcr_474	18.671896
2zcr_475	15.301401
2zcr_495	7.0098605
2zcr_500	14.714966
2zcr_52	4.507416
2zcr_543	9.151783
2zcr_548	13.579918
2zcr_557	13.178944
2zcr_578	18.682856
2zcr_580	15.088143
2zcr_589	11.811591
2zcr_591	11.293214
2zcr_603	14.140299
2zcr_625	15.791442
2zcr_634	9.715415
2zcr_636	12.625987
2zcr_658	9.543953
2zcr_664	7.923612
2zcr_678	16.720774
2zcr_699	13.914528
2zcr_709	6.991074
2zcr_721	5.763213
2zcr_723	6.5312395
2zcr_730	4.3255496
2zcr_737	5.359054
2zcr_746	5.53871
2zcr_75	-4.1994553
2zcr_762	8.978402
2zcr_765	4.874422
2zcr_767	7.7142386
2zcr_769	3.574519
2zcr_772	9.019755
2zcr_776	5.776013
2zcr_777	8.048204
2zcr_778	9.1786585
2zcr_780	4.2540035
2zcr_781	9.805449
2zcr_782	8.06577
2zcr_783	6.5116606
2zcr_786	6.705055
2zcr_787	4.777281
2zcr_788	5.5068083
2zcr_80	-1.5081197
2zcr_834	5.3425074
2zcr_846	7.3155084
2zcr_869	5.413179
2zcr_877	3.292721
2zcr_882	7.873952
2zcr_883	8.74415
2zcr_8	-0.35981965
