#code	score
3ao4_102	9.615599
3ao4_115	5.2175145
3ao4_117	9.653259
3ao4_118	7.5358853
3ao4_165	4.779464
3ao4_174	7.6885486
3ao4_195	4.860207
3ao4_200	5.46038
3ao4_281	4.574911
3ao4_350	4.7100606
3ao4_385	7.653216
3ao4_420	19.626007
3ao4_428	7.332551
3ao4_438	8.885742
3ao4_440	7.4229374
3ao4_443	28.343718
3ao4_446	22.462454
3ao4_451	12.482989
3ao4_456	7.5105276
3ao4_473	18.958153
3ao4_476	6.7305903
3ao4_477	22.501295
3ao4_479	11.040094
3ao4_481	12.325057
3ao4_499	9.058848
3ao4_520	10.272788
3ao4_572	9.484469
3ao4_582	29.248215
3ao4_585	8.75402
3ao4_593	7.3892403
3ao4_628	14.018242
3ao4_650	15.092506
3ao4_655	13.507731
3ao4_657	9.435438
3ao4_661	17.690475
3ao4_691	21.521769
3ao4_715	9.438976
3ao4_718	7.944967
3ao4_730	10.901472
3ao4_731	12.506387
3ao4_736	9.618489
3ao4_744	9.938785
3ao4_749	5.5694647
3ao4_750	9.298267
3ao4_752	8.728085
3ao4_755	8.491049
3ao4_757	9.201499
3ao4_758	8.201561
3ao4_759	9.536141
3ao4_760	9.345314
3ao4_762	8.454352
3ao4_763	7.930815
3ao4_764	8.853827
3ao4_765	9.360742
3ao4_766	8.830753
3ao4_768	8.831195
3ao4_769	7.6661186
3ao4_771	9.980685
3ao4_772	6.7163086
3ao4_773	8.180551
3ao4_774	8.519458
3ao4_776	11.448491
3ao4_779	13.453695
3ao4_780	15.475629
3ao4_784	6.265391
3ao4_787	4.483501
3ao4_788	7.5454106
3ao4_800	6.208756
3ao4_803	6.0956497
3ao4_808	5.0144176
3ao4_850	6.3968196
3ao4_862	9.175891
3ao4_870	9.438621
3ao4_871	8.448475
3ao4_878	4.838811
3ao4_880	11.472259
3ao4_889	8.22365
3ao4_909	11.4279375
3ao4_910	9.385719
3ao4_915	6.800859
3ao4_925	6.8574743
3ao4_928	8.793865
3ao4_943	10.072585
3ao4_953	8.856035
3ao4_958	10.761697
3ao4_959	7.696822
3ao4_962	8.387522
3ao4_964	8.099844
3ao4_965	8.6109295
3ao4_966	6.76168
3ao4_976	8.003688
3ao4_978	8.284407
