#code	score
3fv2_172	-3.595887
3fv2_177	-3.3008974
3fv2_200	-2.3390512
3fv2_298	-0.28146106
3fv2_302	-2.8865826
3fv2_408	11.013248
3fv2_409	6.835597
3fv2_412	14.208526
3fv2_424	20.833399
3fv2_429	21.060268
3fv2_42	-0.32876146
3fv2_430	17.893017
3fv2_459	20.65739
3fv2_466	18.141905
3fv2_484	24.446096
3fv2_485	13.970093
3fv2_488	14.467753
3fv2_489	23.743477
3fv2_500	17.124117
3fv2_503	9.108599
3fv2_509	6.634917
3fv2_510	14.727892
3fv2_514	10.251119
3fv2_517	15.467901
3fv2_520	10.964657
3fv2_547	12.135927
3fv2_548	16.22222
3fv2_556	19.63671
3fv2_559	14.952297
3fv2_563	19.340471
3fv2_566	12.516932
3fv2_576	21.217405
3fv2_582	32.081627
3fv2_588	14.309912
3fv2_590	32.481705
3fv2_592	9.4748955
3fv2_613	10.010256
3fv2_623	23.181744
3fv2_626	11.665252
3fv2_642	16.006393
3fv2_652	14.229143
3fv2_657	30.004093
3fv2_658	21.849276
3fv2_675	16.995806
3fv2_676	13.732219
3fv2_681	16.047937
3fv2_684	19.194504
3fv2_688	16.913658
3fv2_699	15.095072
3fv2_832	5.987301
