#code	score
3gnw_134	6.5693064
3gnw_136	7.8965096
3gnw_155	10.406772
3gnw_179	9.523101
3gnw_201	18.008295
3gnw_205	8.585043
3gnw_216	8.884365
3gnw_218	10.218455
3gnw_219	8.22038
3gnw_220	6.033707
3gnw_225	4.7617855
3gnw_226	10.730863
3gnw_236	10.300556
3gnw_241	1.9673536
3gnw_254	-3.1754427
3gnw_259	5.083559
3gnw_261	5.641285
3gnw_266	6.992645
3gnw_271	11.334713
3gnw_273	5.7473392
3gnw_276	10.849872
3gnw_277	0.4375036
3gnw_278	7.631973
3gnw_279	6.2752666
3gnw_284	6.9685283
3gnw_294	4.888925
3gnw_299	6.1031036
3gnw_302	3.2369828
3gnw_310	5.7976284
3gnw_315	6.2459645
3gnw_316	5.4285407
3gnw_322	11.307659
3gnw_323	7.307539
3gnw_325	4.971682
3gnw_335	9.437793
3gnw_337	6.270322
3gnw_343	7.733204
3gnw_381	3.9246647
3gnw_387	4.8711386
3gnw_402	17.981747
3gnw_411	38.054398
3gnw_417	52.56805
3gnw_41	8.857093
3gnw_423	69.362404
3gnw_440	42.31056
3gnw_448	13.948407
3gnw_463	24.113905
3gnw_493	37.439804
3gnw_498	31.343098
3gnw_49	1.5002137
3gnw_516	55.567013
3gnw_527	38.251972
3gnw_535	32.212585
3gnw_545	14.794147
3gnw_549	19.148546
3gnw_552	8.472168
3gnw_555	30.393763
3gnw_569	31.399067
3gnw_580	32.07189
3gnw_581	18.882439
3gnw_586	17.127817
3gnw_587	32.092537
3gnw_597	6.396505
3gnw_634	20.215267
3gnw_636	14.665119
3gnw_639	13.76588
3gnw_649	14.1844635
3gnw_659	15.055633
3gnw_662	10.516401
3gnw_667	19.811562
3gnw_668	24.753796
3gnw_694	17.71765
3gnw_700	33.614876
3gnw_708	0.884442
3gnw_712	-5.3765473
3gnw_714	1.2271024
3gnw_718	-0.29272956
3gnw_722	3.6496615
3gnw_729	7.118321
3gnw_745	3.4850018
3gnw_779	16.775494
3gnw_802	-2.6535916
3gnw_842	2.3009255
3gnw_847	6.9166512
3gnw_848	4.0849085
3gnw_857	-3.4156318
3gnw_867	8.6737
3gnw_868	7.8141537
3gnw_873	8.746551
3gnw_876	8.892727
3gnw_877	8.708853
3gnw_87	4.477086
3gnw_939	3.6017601
3gnw_94	9.025359
3gnw_950	-0.075564384
3gnw_959	5.1387334
3gnw_95	10.082883
3gnw_961	4.493575
3gnw_965	1.1268398
3gnw_982	5.2068076
