#code	score
3oe5_104	-2.687142
3oe5_106	10.079865
3oe5_11	9.801399
3oe5_121	2.6012352
3oe5_124	3.0116208
3oe5_132	3.5911689
3oe5_134	5.3481107
3oe5_145	9.17128
3oe5_148	8.962611
3oe5_156	13.610565
3oe5_15	1.4249496
3oe5_161	9.597188
3oe5_162	-0.24462506
3oe5_164	9.283327
3oe5_197	6.195887
3oe5_198	3.5434794
3oe5_199	10.738109
3oe5_203	4.0110626
3oe5_214	7.064673
3oe5_217	3.3094492
3oe5_227	6.4337463
3oe5_236	1.6902751
3oe5_243	10.135148
3oe5_245	17.513798
3oe5_248	4.9620953
3oe5_250	6.303757
3oe5_261	-5.057312
3oe5_263	19.301685
3oe5_266	-3.0574074
3oe5_26	5.432568
3oe5_274	7.2818146
3oe5_286	10.365279
3oe5_289	6.1862397
3oe5_290	7.8836355
3oe5_29	7.378541
3oe5_2	6.655118
3oe5_301	-1.8152481
3oe5_30	0.010962788
3oe5_325	5.931094
3oe5_329	7.8690405
3oe5_332	9.57814
3oe5_342	6.208189
3oe5_352	-6.545495
3oe5_356	-4.406565
3oe5_370	0.8100737
3oe5_380	1.7320839
3oe5_401	20.0439
3oe5_402	31.02034
3oe5_403	24.826563
3oe5_412	31.63858
3oe5_421	46.603687
3oe5_422	33.628754
3oe5_423	39.52879
3oe5_430	42.31027
3oe5_437	50.636497
3oe5_439	27.066238
3oe5_441	47.64131
3oe5_442	22.999147
3oe5_446	46.003323
3oe5_455	33.317936
3oe5_45	5.289025
3oe5_462	30.69738
3oe5_467	57.723446
3oe5_472	23.858496
3oe5_477	32.26099
3oe5_480	26.758562
3oe5_483	45.609608
3oe5_484	93.668365
3oe5_493	38.167397
3oe5_497	25.443043
3oe5_499	66.48155
3oe5_529	26.69145
3oe5_546	18.027407
3oe5_552	21.95467
3oe5_561	16.29875
3oe5_563	25.078228
3oe5_57	7.9032907
3oe5_581	21.953238
3oe5_586	16.363499
3oe5_599	13.959025
3oe5_620	24.838316
3oe5_623	12.3699045
3oe5_624	38.55188
3oe5_669	38.11591
3oe5_673	45.4744
3oe5_676	40.314182
3oe5_680	14.109872
3oe5_684	46.689564
3oe5_697	19.288002
3oe5_700	27.948788
3oe5_758	3.020567
3oe5_762	6.994529
3oe5_76	2.3172228
3oe5_77	6.5113025
3oe5_788	2.2625632
3oe5_857	-1.0074683
3oe5_893	-0.1519088
3oe5_94	7.3306813
3oe5_955	0.11948866
3oe5_97	7.5823402
