#code	score
3uev_117	7.71176
3uev_178	4.5331717
3uev_194	6.8723474
3uev_233	5.7590327
3uev_236	2.9927914
3uev_249	-0.86285686
3uev_266	3.365348
3uev_272	4.1205297
3uev_277	4.27896
3uev_290	2.6287587
3uev_36	1.0371666
3uev_37	1.33411
3uev_420	17.396177
3uev_444	15.457934
3uev_451	2.9685817
3uev_452	10.116851
3uev_455	9.44247
3uev_456	20.09672
3uev_464	28.5749
3uev_465	7.93045
3uev_467	15.312819
3uev_474	19.929688
3uev_475	16.84858
3uev_483	5.675691
3uev_488	12.183457
3uev_509	7.5560174
3uev_544	3.8621
3uev_561	15.276535
3uev_566	8.336854
3uev_569	9.125693
3uev_573	5.0866866
3uev_575	10.205645
3uev_580	11.246689
3uev_583	5.412761
3uev_585	6.5517554
3uev_590	10.674266
3uev_591	8.104779
3uev_592	11.528534
3uev_598	12.444236
3uev_603	14.570829
3uev_611	21.231598
3uev_619	19.908504
3uev_621	21.77019
3uev_62	0.07026261
3uev_645	7.956739
3uev_655	8.713849
3uev_659	4.501519
3uev_661	14.873243
3uev_666	7.3501363
3uev_673	9.233002
3uev_675	16.409548
3uev_684	9.834646
3uev_695	12.0743475
3uev_700	7.1895194
3uev_72	5.5817842
3uev_731	5.740772
3uev_749	6.663672
3uev_766	4.3235183
3uev_778	5.3337274
3uev_793	4.792856
3uev_794	4.502355
3uev_800	11.61584
3uev_80	3.4812076
3uev_830	8.121989
3uev_937	7.1101103
3uev_957	8.016502
3uev_975	6.584311
