#code	score
3wz8_109	2.230157
3wz8_124	6.0789294
3wz8_136	7.614647
3wz8_145	7.9478917
3wz8_154	-0.55430305
3wz8_243	6.0919905
3wz8_296	4.3748193
3wz8_313	7.153736
3wz8_316	5.1333933
3wz8_318	-3.0569754
3wz8_323	4.9035716
3wz8_326	3.1193624
3wz8_338	7.0580583
3wz8_364	0.24772617
3wz8_371	3.8124743
3wz8_376	5.411649
3wz8_380	6.4348135
3wz8_391	0.02588087
3wz8_413	52.849995
3wz8_418	27.59665
3wz8_455	26.554031
3wz8_462	71.05468
3wz8_474	45.10516
3wz8_479	16.144672
3wz8_484	30.239674
3wz8_492	15.180351
3wz8_4	1.8277333
3wz8_505	24.574987
3wz8_507	6.1244407
3wz8_510	6.3246274
3wz8_513	13.927685
3wz8_514	17.409336
3wz8_524	47.584515
3wz8_527	14.329225
3wz8_529	13.732654
3wz8_534	23.674044
3wz8_542	17.875874
3wz8_544	36.922787
3wz8_546	16.883415
3wz8_549	8.942182
3wz8_554	23.102928
3wz8_557	34.572372
3wz8_558	25.037582
3wz8_559	30.758194
3wz8_566	38.555855
3wz8_568	9.100277
3wz8_569	11.923282
3wz8_570	18.945692
3wz8_572	12.780759
3wz8_573	14.687659
3wz8_582	24.73835
3wz8_588	21.546915
3wz8_596	21.639397
3wz8_600	13.931649
3wz8_604	37.857693
3wz8_614	23.41069
3wz8_617	9.2449255
3wz8_623	23.250038
3wz8_627	30.516806
3wz8_631	9.39444
3wz8_633	9.388212
3wz8_641	22.038576
3wz8_642	27.863497
3wz8_645	25.415253
3wz8_651	15.333362
3wz8_657	15.644719
3wz8_659	12.864663
3wz8_667	13.736411
3wz8_670	42.740017
3wz8_671	20.52198
3wz8_680	17.40699
3wz8_684	13.204044
3wz8_686	8.787424
3wz8_688	19.95627
3wz8_695	21.72977
3wz8_700	12.313051
3wz8_705	0.33513618
3wz8_713	1.6634519
3wz8_721	3.6775944
3wz8_782	6.650525
3wz8_86	-4.551464
3wz8_946	7.286018
3wz8_965	12.137146
