#code	score
4ciw_267	-3.2703593
4ciw_270	-2.3174622
4ciw_280	-2.5384884
4ciw_401	5.177368
4ciw_415	5.7373214
4ciw_420	8.551546
4ciw_439	2.4146721
4ciw_440	10.82025
4ciw_449	11.326952
4ciw_451	6.381942
4ciw_461	17.724205
4ciw_462	6.931119
4ciw_468	4.0421124
4ciw_482	7.3139334
4ciw_487	13.568584
4ciw_48	-1.6736846
4ciw_496	14.36048
4ciw_499	10.378067
4ciw_507	11.144986
4ciw_537	6.082479
4ciw_550	10.623778
4ciw_568	19.644154
4ciw_573	14.880728
4ciw_584	20.689795
4ciw_585	13.986514
4ciw_592	26.733694
4ciw_597	11.969718
4ciw_598	8.99938
4ciw_608	20.5504
4ciw_609	9.846889
4ciw_610	11.291885
4ciw_617	8.000015
4ciw_620	8.445556
4ciw_629	16.375664
4ciw_638	9.297867
4ciw_639	15.022807
4ciw_672	15.387673
4ciw_673	16.982094
4ciw_676	9.508641
4ciw_689	14.037495
4ciw_690	9.936695
4ciw_700	10.818024
4ciw_725	-1.5023489
4ciw_947	-2.9337108
