#code	score
4djv_105	5.675641
4djv_136	6.3436904
4djv_159	8.39774
4djv_164	4.5843053
4djv_175	9.156713
4djv_17	6.020803
4djv_212	1.7103784
4djv_21	2.738027
4djv_29	5.013222
4djv_2	5.192598
4djv_314	7.2561274
4djv_335	3.3010893
4djv_336	2.4175608
4djv_33	5.89675
4djv_349	1.3876458
4djv_380	4.462559
4djv_388	4.3194733
4djv_399	4.153229
4djv_401	16.827171
4djv_402	7.829866
4djv_406	17.461115
4djv_412	14.705678
4djv_416	8.320895
4djv_421	18.624437
4djv_422	47.613354
4djv_427	33.663853
4djv_431	12.926497
4djv_433	17.033237
4djv_434	117.29496
4djv_436	30.328302
4djv_438	17.216331
4djv_446	23.02861
4djv_447	38.912018
4djv_452	17.90732
4djv_457	12.061288
4djv_467	11.049007
4djv_476	18.459297
4djv_483	14.604639
4djv_491	32.137
4djv_492	27.752127
4djv_496	28.450504
4djv_497	23.919903
4djv_521	21.305649
4djv_533	18.812078
4djv_544	25.77671
4djv_546	25.278679
4djv_551	22.423023
4djv_557	20.970297
4djv_561	37.822018
4djv_563	28.05801
4djv_570	20.352621
4djv_584	20.418106
4djv_58	8.499512
4djv_590	44.773228
4djv_592	25.73446
4djv_607	37.93203
4djv_612	10.890842
4djv_615	16.20328
4djv_617	14.307185
4djv_637	11.503502
4djv_640	7.6165586
4djv_650	20.464895
4djv_659	21.2651
4djv_661	29.99292
4djv_666	11.30737
4djv_672	34.977734
4djv_675	15.415222
4djv_676	22.477488
4djv_677	21.961714
4djv_687	23.263988
4djv_694	9.073377
4djv_696	9.327479
4djv_701	5.441849
4djv_7	5.596232
4djv_823	8.362701
4djv_830	8.729155
4djv_900	6.597629
4djv_913	6.2264447
4djv_923	7.697682
4djv_957	7.1329527
4djv_97	4.6243477
