#code	score
4eky_274	7.4532776
4eky_287	8.280759
4eky_32	-3.2366853
4eky_38	-0.8359032
4eky_407	12.948523
4eky_416	28.218502
4eky_419	8.96381
4eky_424	16.423391
4eky_425	16.434055
4eky_430	12.126125
4eky_433	12.656368
4eky_438	14.796209
4eky_443	13.0182
4eky_448	25.449682
4eky_461	15.595296
4eky_475	21.254751
4eky_478	16.46629
4eky_485	13.597803
4eky_495	16.768385
4eky_496	20.680058
4eky_534	16.422392
4eky_538	16.409925
4eky_546	9.56563
4eky_565	16.62031
4eky_568	13.546479
4eky_582	42.17773
4eky_599	20.389708
4eky_609	10.129245
4eky_619	19.423492
4eky_636	9.9153
4eky_638	12.079723
4eky_639	16.935051
4eky_640	16.556255
4eky_641	21.16327
4eky_647	34.798416
4eky_649	9.029132
4eky_651	22.049961
4eky_659	21.059807
4eky_668	37.020065
4eky_673	28.114862
4eky_678	22.24243
4eky_680	26.69458
4eky_693	10.677278
4eky_699	7.8702955
4eky_700	12.089358
4eky_720	0.9419449
4eky_725	-3.3117692
4eky_727	2.3145418
4eky_730	2.4638712
4eky_741	3.4316723
4eky_742	5.409438
4eky_755	-0.19068474
4eky_759	5.158937
4eky_763	8.933874
4eky_767	10.234546
4eky_768	6.4602904
4eky_770	9.373303
4eky_771	11.717594
4eky_772	27.734129
4eky_773	12.18496
4eky_774	20.208853
4eky_776	29.535973
4eky_777	33.126076
4eky_778	28.152803
4eky_779	21.552261
4eky_830	3.1965501
4eky_842	3.6026201
4eky_848	1.4207826
4eky_856	3.0214202
4eky_875	1.7697527
4eky_876	3.3656871
4eky_883	-3.8727925
4eky_899	-4.6451902
4eky_908	-3.350746
4eky_941	-1.0016651
4eky_969	-3.229224
4eky_972	-3.4786313
