#code	score
4f2w_101	9.4771
4f2w_105	-0.9306127
4f2w_121	7.2975345
4f2w_122	11.499871
4f2w_124	7.4907503
4f2w_136	5.095162
4f2w_142	-2.0318484
4f2w_144	8.079645
4f2w_147	6.568443
4f2w_151	6.287872
4f2w_154	11.005154
4f2w_155	4.8180676
4f2w_163	10.513878
4f2w_187	6.4167795
4f2w_198	7.584442
4f2w_264	3.809826
4f2w_360	-2.708014
4f2w_407	19.455402
4f2w_420	16.318241
4f2w_428	31.814201
4f2w_431	28.645544
4f2w_435	20.594484
4f2w_436	15.509964
4f2w_437	18.055984
4f2w_439	9.493036
4f2w_442	12.637635
4f2w_454	9.576089
4f2w_45	6.1001525
4f2w_465	27.774492
4f2w_467	21.85843
4f2w_468	14.166418
4f2w_473	32.558846
4f2w_474	15.451916
4f2w_476	18.301302
4f2w_480	20.8088
4f2w_482	14.388204
4f2w_484	10.099149
4f2w_486	19.368
4f2w_519	11.022277
4f2w_521	7.4459276
4f2w_523	11.779424
4f2w_542	18.148777
4f2w_543	11.965242
4f2w_552	9.659055
4f2w_559	22.126348
4f2w_562	14.019998
4f2w_567	13.342326
4f2w_571	21.277023
4f2w_581	14.532861
4f2w_582	16.021143
4f2w_585	15.628919
4f2w_586	18.93808
4f2w_589	20.615532
4f2w_597	15.948385
4f2w_608	19.2816
4f2w_620	18.598667
4f2w_631	24.60992
4f2w_638	13.934483
4f2w_657	13.683279
4f2w_658	21.022709
4f2w_664	12.41604
4f2w_665	12.971599
4f2w_66	6.9387927
4f2w_671	15.786999
4f2w_687	6.1455016
4f2w_725	-4.293176
4f2w_749	8.122159
4f2w_770	6.460226
4f2w_796	-0.23669426
4f2w_825	-1.7625328
4f2w_901	-3.0419018
4f2w_907	-4.824407
4f2w_917	-5.4247622
4f2w_922	-0.8296095
4f2w_979	-1.6836934
