#code	score
4f3c_101	7.6334143
4f3c_104	3.2260635
4f3c_140	8.713963
4f3c_150	6.899981
4f3c_178	5.49826
4f3c_190	5.3012238
4f3c_21	5.7124233
4f3c_251	0.6875656
4f3c_28	6.5831375
4f3c_301	-1.4947973
4f3c_308	-0.4430313
4f3c_323	3.563107
4f3c_362	-2.813571
4f3c_363	9.992416
4f3c_382	-7.04705
4f3c_390	2.4665823
4f3c_394	1.1779262
4f3c_400	6.422663
4f3c_403	19.586655
4f3c_404	8.974554
4f3c_409	36.62634
4f3c_420	26.480314
4f3c_429	26.936586
4f3c_430	15.831487
4f3c_434	36.45679
4f3c_445	18.802166
4f3c_447	23.316132
4f3c_450	24.036188
4f3c_451	27.525599
4f3c_452	27.533445
4f3c_458	26.38387
4f3c_463	41.40244
4f3c_465	14.548122
4f3c_470	29.068924
4f3c_472	33.225037
4f3c_474	30.68842
4f3c_479	29.621645
4f3c_480	31.367826
4f3c_481	32.675873
4f3c_490	23.928303
4f3c_496	24.75109
4f3c_497	25.749998
4f3c_507	17.041443
4f3c_513	15.543974
4f3c_514	16.528866
4f3c_516	19.51958
4f3c_523	16.658518
4f3c_524	19.931955
4f3c_525	19.863428
4f3c_530	12.311472
4f3c_538	7.988051
4f3c_542	15.598995
4f3c_544	27.329958
4f3c_545	12.89771
4f3c_54	7.725658
4f3c_553	18.55488
4f3c_556	15.966238
4f3c_558	19.636377
4f3c_559	26.590103
4f3c_561	20.00666
4f3c_563	21.992907
4f3c_568	26.72748
4f3c_569	9.606104
4f3c_573	28.977135
4f3c_577	20.023249
4f3c_57	6.6385264
4f3c_585	10.6722145
4f3c_587	25.473764
4f3c_592	41.21896
4f3c_595	25.64276
4f3c_600	29.935541
4f3c_612	29.834574
4f3c_61	-5.6721854
4f3c_642	16.3654
4f3c_643	31.308302
4f3c_646	32.64193
4f3c_667	9.545138
4f3c_680	31.170406
4f3c_682	31.522417
4f3c_685	18.168571
4f3c_687	30.092056
4f3c_688	29.659964
4f3c_689	13.291775
4f3c_693	18.929657
4f3c_696	21.476023
4f3c_6	5.690371
4f3c_72	7.5688763
4f3c_744	-4.766417
4f3c_755	-6.9199204
4f3c_773	-1.6378748
4f3c_833	-6.113709
4f3c_871	-1.9158933
4f3c_885	-4.146038
4f3c_926	-0.9104704
